time [s],step [Step](/api/datatype/52/)
0.296875,1
1.15625,2
1.640625,3
1.90625,4
2.296875,5
2.78125,6
3.515625,7
6.421875,8
7.359375,9
7.9375,10
8.90625,11
9.5,12
10.4375,13
11.15625,14
11.515625,15
11.890625,16
12.90625,17
14.640625,18
19.515625,19
20.5625,20
23.3125,21
23.5625,22
33.4375,23
33.78125,24
34.75,25
35.484375,26
36.09375,27
37.546875,28
37.96875,29
38.359375,30
38.6875,31
39.21875,32
39.75,33
39.984375,34
40.3125,35
40.5625,36
41.5625,37
42.0,38
51.625,39
54.34375,40
55.015625,41
55.453125,42
55.71875,43
56.171875,44
56.53125,45
56.75,46
57.0,47
58.09375,48
58.5,49
58.796875,50
59.28125,51
59.5,52
60.140625,53
60.953125,54
62.203125,55
62.4375,56
63.71875,57
64.421875,58
65.046875,59
65.78125,60
66.515625,61
66.875,62
69.953125,63
70.59375,64
71.265625,65
74.65625,66
76.4375,67
77.65625,68
79.15625,69
79.734375,70
80.0,71
80.46875,72
81.15625,73
81.640625,74
90.21875,75
90.59375,76
92.875,77
93.1875,78
93.90625,79
94.28125,80
106.453125,81
107.359375,82
109.3125,83
117.359375,84
118.6875,85
119.109375,86
121.34375,87
122.734375,88
123.40625,89
124.171875,90
144.140625,91
149.5,92
150.578125,93
154.421875,94
154.75,95
155.046875,96
155.625,97
156.34375,98
156.734375,99
157.609375,100
158.046875,101
158.296875,102
160.015625,103
162.890625,104
163.4375,105
164.1875,106
164.84375,107
169.515625,108
170.140625,109
171.59375,110
263.703125,111
264.75,112
266.203125,113
302.375,114
354.328125,115
366.640625,116
367.40625,117
370.328125,118
371.078125,119
371.828125,120
372.484375,121
372.96875,122
373.53125,123
374.125,124
374.65625,125
375.265625,126
375.78125,127
376.359375,128
376.921875,129
377.53125,130
378.0625,131
378.65625,132
379.171875,133
379.828125,134
380.46875,135
383.921875,136
384.546875,137
385.109375,138
385.65625,139
386.25,140
386.765625,141
387.328125,142
387.90625,143
388.484375,144
389.0,145
389.5625,146
390.109375,147
390.671875,148
391.21875,149
391.828125,150
392.375,151
392.953125,152
393.484375,153
394.078125,154
394.796875,155
399.15625,156
399.640625,157
400.296875,158
400.8125,159
401.453125,160
401.96875,161
402.53125,162
403.078125,163
403.671875,164
404.171875,165
404.8125,166
405.296875,167
405.96875,168
406.546875,169
407.171875,170
407.71875,171
408.28125,172
408.78125,173
409.453125,174
409.984375,175
410.609375,176
411.125,177
411.78125,178
412.296875,179
412.921875,180
413.40625,181
414.03125,182
414.5625,183
415.15625,184
415.625,185
416.234375,186
416.734375,187
417.34375,188
417.84375,189
418.390625,190
418.921875,191
419.5,192
419.984375,193
420.5625,194
421.078125,195
421.671875,196
422.15625,197
422.71875,198
423.234375,199
423.765625,200
424.3125,201
424.890625,202
425.4375,203
426.015625,204
426.515625,205
427.125,206
427.625,207
428.171875,208
428.703125,209
429.25,210
429.796875,211
430.34375,212
430.875,213
431.453125,214
431.953125,215
432.546875,216
433.03125,217
433.640625,218
434.1875,219
434.625,220
435.078125,221
435.5625,222
436.015625,223
436.59375,224
437.125,225
437.671875,226
438.1875,227
438.734375,228
439.234375,229
439.828125,230
440.328125,231
440.921875,232
441.421875,233
442.015625,234
442.484375,235
443.078125,236
443.59375,237
444.203125,238
444.671875,239
445.234375,240
445.78125,241
446.359375,242
446.828125,243
447.40625,244
447.921875,245
448.46875,246
448.96875,247
449.53125,248
450.03125,249
450.59375,250
451.140625,251
451.734375,252
452.234375,253
452.828125,254
453.34375,255
453.96875,256
454.46875,257
455.109375,258
455.609375,259
456.21875,260
456.78125,261
457.375,262
457.90625,263
458.453125,264
459.0,265
459.5625,266
460.09375,267
460.65625,268
461.15625,269
461.78125,270
462.28125,271
462.859375,272
463.390625,273
463.953125,274
464.5,275
465.09375,276
465.609375,277
466.203125,278
466.734375,279
467.328125,280
467.84375,281
468.453125,282
468.953125,283
469.53125,284
470.0625,285
470.625,286
471.140625,287
471.734375,288
472.234375,289
472.84375,290
473.359375,291
473.9375,292
474.4375,293
475.046875,294
475.546875,295
476.125,296
476.65625,297
477.265625,298
477.75,299
478.328125,300
478.859375,301
479.46875,302
479.984375,303
480.59375,304
481.125,305
481.75,306
482.28125,307
482.921875,308
483.4375,309
484.015625,310
484.546875,311
485.140625,312
485.625,313
486.234375,314
486.71875,315
487.296875,316
487.8125,317
488.359375,318
488.90625,319
489.46875,320
489.984375,321
490.53125,322
491.046875,323
491.59375,324
492.15625,325
492.71875,326
493.265625,327
493.828125,328
494.328125,329
494.921875,330
495.4375,331
496.65625,332
497.34375,333
497.953125,334
640.171875,335
640.75,336
641.28125,337
641.828125,338
642.34375,339
642.890625,340
643.40625,341
643.953125,342
644.46875,343
645.0,344
645.53125,345
646.09375,346
646.609375,347
647.140625,348
647.65625,349
648.1875,350
648.71875,351
649.234375,352
649.78125,353
650.28125,354
650.8125,355
651.34375,356
651.859375,357
652.40625,358
652.921875,359
653.453125,360
653.96875,361
654.484375,362
655.015625,363
655.53125,364
656.0625,365
656.59375,366
657.140625,367
657.703125,368
658.21875,369
658.78125,370
659.296875,371
659.875,372
660.375,373
660.921875,374
661.4375,375
661.984375,376
662.484375,377
663.0625,378
663.5625,379
664.109375,380
664.609375,381
665.15625,382
665.65625,383
666.203125,384
666.71875,385
667.25,386
667.765625,387
668.296875,388
668.796875,389
669.34375,390
669.84375,391
670.390625,392
670.890625,393
671.421875,394
671.9375,395
672.46875,396
672.984375,397
673.53125,398
674.03125,399
674.578125,400
675.078125,401
675.625,402
676.125,403
676.65625,404
677.15625,405
677.6875,406
678.1875,407
678.71875,408
679.234375,409
679.75,410
680.265625,411
680.78125,412
681.296875,413
681.828125,414
682.328125,415
682.859375,416
683.359375,417
683.890625,418
684.40625,419
684.9375,420
685.453125,421
685.984375,422
686.46875,423
687.0,424
687.515625,425
688.03125,426
688.546875,427
689.078125,428
689.578125,429
690.109375,430
690.609375,431
691.140625,432
691.640625,433
692.171875,434
692.6875,435
693.234375,436
693.734375,437
694.265625,438
694.78125,439
695.34375,440
695.859375,441
696.390625,442
696.90625,443
697.40625,444
697.953125,445
698.484375,446
699.0,447
699.53125,448
700.046875,449
700.578125,450
701.109375,451
701.75,452
702.21875,453
702.890625,454
703.515625,455
704.125,456
704.6875,457
705.21875,458
705.75,459
706.296875,460
706.8125,461
