time [s],expiration [NA](/api/datatype/35/)
2.390625,23147
3.390625,23097
4.3203125,23022
7.3359375,23077
9.6484375,22995
10.25,22862
10.78125,22863
11.3203125,22947
12.125,23177
13.828125,22400
14.84375,22498
15.7421875,22609
16.8203125,22626
18.9921875,22569
36.703125,22179
43.9765625,20549
45.8984375,20787
48.6796875,20435
55.140625,20182
58.46875,22502
63.9140625,22756
68.8671875,22189
74.7265625,20544
77.3671875,17242
79.578125,20946
83.3828125,20928
87.4765625,20850
89.1484375,20831
91.7109375,20783
92.9140625,20745
94.9375,20756
95.921875,20691
97.75,20887
99.9296875,20704
104.671875,20769
108.421875,20883
114.0625,20737
120.0546875,18439
122.0234375,21514
124.1328125,21482
125.6875,21464
137.109375,21410
148.5390625,21295
155.1328125,16799
159.84375,21537
169.5,21526
187.390625,21519
201.78125,21476
221.0078125,21458
241.03125,21297
250.4375,21275
279.6171875,21460
324.75,21517
337.75,21510
345.953125,21478
351.1484375,21509
355.1796875,21509
362.40625,21510
370.8125,21525
379.2109375,21525
383.390625,21528
387.9140625,21528
392.9375,21505
397.1796875,21473
403.5078125,21514
406.5078125,21522
408.3671875,21523
410.546875,21506
412.609375,21487
414.5390625,21486
416.203125,21511
418.8515625,21503
421.0,21502
423.1171875,21506
424.8984375,21519
427.09375,21502
428.734375,21519
431.046875,21522
432.65625,21519
434.59375,21510
436.5859375,21513
438.734375,21526
441.4296875,21533
444.03125,21501
445.796875,21489
448.421875,21492
450.609375,21506
453.359375,21496
456.1640625,21484
458.234375,21481
461.21875,21486
463.4140625,21496
465.640625,21493
467.8515625,21501
470.0859375,21516
473.8984375,21506
476.1015625,21496
478.3046875,21505
480.0,21511
481.6796875,21517
483.4296875,21518
485.6328125,21510
487.984375,21510
490.5,21499
492.71875,21488
494.8828125,21497
497.046875,21499
499.2890625,21513
501.2890625,21522
503.0625,21526
505.015625,21518
507.390625,21512
509.9765625,21527
513.5390625,21542
515.5390625,21529
518.53125,21525
522.828125,21508
526.0546875,21516
529.4296875,21511
539.5625,21467
542.8359375,21514
545.796875,21541
549.7109375,21499
552.3125,21508
555.109375,21511
557.6484375,21514
560.8125,21516
564.8671875,21510
569.53125,21523
573.3828125,21516
577.4453125,21528
581.359375,21515
585.390625,21484
589.4453125,21507
592.6171875,21499
595.0625,21510
597.5078125,21526
604.3515625,21537
607.8046875,21528
610.9375,21524
612.3515625,21530
615.3203125,21527
617.9921875,21521
622.8515625,21529
627.046875,21523
630.546875,21529
634.4921875,21528
638.1875,21508
640.7421875,21494
643.3984375,21497
645.5625,21494
648.1875,21520
650.296875,21515
652.921875,21522
656.609375,21524
659.3203125,21499
661.9765625,21503
665.1328125,21482
667.765625,21492
669.859375,21488
672.46875,21490
675.125,21492
677.625,21506
679.75,21510
682.484375,21497
684.9296875,21522
686.984375,21515
689.734375,21509
692.15625,21495
694.78125,21502
697.0625,21495
699.515625,21502
702.234375,21496
704.109375,21493
706.8359375,21496
709.40625,21482
712.046875,21496
714.6484375,21508
717.265625,21508
719.8359375,21509
722.4453125,21501
725.0859375,21477
727.8515625,21497
730.375,21506
732.46875,21511
734.5,21514
736.9921875,21519
739.4296875,21505
741.9140625,21480
745.0703125,21455
747.859375,21487
750.234375,21483
752.9375,21482
755.0546875,21484
757.6953125,21490
760.3203125,21475
762.6171875,21488
765.0234375,21498
767.1015625,21486
769.421875,21511
771.7421875,21529
775.2734375,21509
778.1015625,21508
780.9921875,21493
783.3984375,21512
785.9453125,21504
787.8671875,21495
789.1953125,21510
791.4765625,21529
794.0234375,21516
796.2421875,21495
798.5078125,21492
800.75,21497
802.890625,21504
805.09375,21513
807.8046875,21522
811.0078125,21531
813.953125,21512
816.796875,21487
818.875,21515
821.1484375,21525
823.8828125,21531
826.1328125,21526
828.8203125,21520
831.09375,21515
833.40625,21505
836.2578125,21500
838.7578125,21479
840.9140625,21460
843.203125,21487
845.4609375,21510
848.1953125,21518
852.484375,21500
855.3203125,21456
857.59375,21485
859.796875,21481
863.0390625,21393
865.9921875,21484
868.125,21487
870.0546875,21504
872.203125,21473
874.4140625,21465
877.15625,21451
879.546875,21466
881.828125,21492
884.59375,21444
886.828125,21466
888.9921875,21461
890.875,21475
892.5625,21481
894.4921875,21479
896.6953125,21441
899.09375,21451
902.1171875,21476
904.2890625,21460
906.546875,21454
908.6640625,21488
910.796875,21491
912.5234375,21494
914.6640625,21482
916.7421875,21472
918.796875,21490
921.0,21475
922.9453125,21487
926.140625,21511
928.703125,21472
930.984375,21487
932.796875,21501
935.0546875,21493
938.3671875,21458
940.5703125,21475
943.9140625,21449
945.6171875,21447
948.9921875,21457
950.65625,21472
952.34375,21468
953.6015625,21463
956.6015625,21485
958.0,21506
959.8984375,21476
962.25,21465
964.4609375,21464
965.75,21470
969.625,21488
971.8515625,21477
974.1328125,21446
978.640625,21453
982.0625,21451
983.6640625,21486
985.6953125,21476
988.953125,21503
990.8984375,21484
994.4453125,21487
996.046875,21484
998.171875,21480
1000.3671875,21479
1002.4453125,21489
1004.1171875,21483
1007.0546875,21491
1008.2578125,21489
1009.6640625,21458
1014.5546875,21469
1016.78125,21464
1018.8984375,21493
1021.046875,21476
1022.6640625,21481
1024.453125,21481
1026.46875,21495
1028.6953125,21485
1030.8828125,21498
1033.1484375,21497
1035.328125,21494
1039.1796875,21482
1042.0234375,21432
1046.484375,21474
1048.484375,21489
1051.1796875,21481
1053.3671875,21487
1055.46875,21491
1057.25,21495
1060.078125,21467
1063.40625,21488
1064.5,21455
1066.640625,21449
1070.5078125,21469
1072.7421875,21458
1075.4609375,21470
1077.6640625,21489
1079.8828125,21483
1083.734375,21496
1085.8203125,21480
1087.515625,21474
1089.7265625,21487
1091.890625,21487
1094.03125,21488
1096.2109375,21472
1098.359375,21484
1099.4765625,21480
1101.03125,21509
1102.1640625,21521
1104.296875,21517
1106.390625,21510
1108.09375,21511
1110.8046875,21508
1113.0234375,21492
1114.6484375,21493
1116.34375,21481
1118.4375,21483
1121.1953125,21494
1122.28125,21482
1123.8515625,21505
1125.515625,21492
1127.609375,21481
1130.859375,21481
1133.4609375,21495
1135.7265625,21486
1138.25,21361
1140.0625,21441
1144.9609375,21473
1148.9375,21479
1151.1640625,21417
1153.8359375,21456
1155.5,21477
1157.640625,21491
1158.9765625,21488
1161.0,21492
1162.9453125,21487
1165.1328125,21488
1167.3671875,21479
1169.0703125,21490
1171.4140625,21468
1173.7734375,21481
1175.5390625,21497
1178.4375,21451
1179.796875,21481
1181.515625,21471
1182.5703125,21467
1183.796875,21491
1185.46875,21491
1187.109375,21463
1188.2265625,21463
1191.0078125,21487
1191.59375,21493
1192.6875,21489
1194.828125,21472
1196.71875,21446
1197.3359375,21454
1197.9453125,21452
1198.546875,21465
1199.7109375,21425
1200.578125,21416
1203.1015625,21471
1203.78125,21469
1204.359375,21472
1206.671875,21473
1207.796875,21473
1209.515625,21478
1210.84375,21456
1212.921875,21453
1213.7265625,21434
1214.6640625,21447
1215.2421875,21448
1215.8359375,21456
1217.9921875,21465
1220.3515625,21426
1221.4609375,21422
1226.0234375,21470
1228.171875,21460
1229.8828125,21471
1232.09375,21476
1233.234375,21472
1234.9375,21486
1237.234375,21475
1238.953125,21472
1244.078125,21508
1246.9453125,21485
1249.0859375,21491
1251.2109375,21491
1253.5390625,21473
1256.078125,21482
1257.5234375,21485
1260.171875,21504
1262.609375,21495
1265.09375,21494
1267.6015625,21498
1270.046875,21478
1272.3828125,21503
1274.5546875,21507
1277.21875,21509
1279.453125,21504
1281.4921875,21511
1283.7421875,21509
1285.9453125,21508
1288.4375,21520
1291.1171875,21503
1293.25,21506
1294.828125,21517
1296.1953125,21504
1298.515625,21478
1300.6875,21481
1302.7265625,21513
1304.9765625,21520
1306.8515625,21510
1309.296875,21505
1311.3671875,21489
1313.1171875,21497
1315.0078125,21491
1315.859375,21490
1317.8515625,21499
1319.359375,21485
1323.6484375,21508
1326.4140625,21506
1328.859375,21499
1331.6015625,21526
1332.7890625,21508
1334.5078125,21513
1336.8671875,21484
1339.1875,21499
1341.484375,21476
1344.3125,21480
1346.9296875,21465
1348.9765625,21487
1351.34375,21490
1353.84375,21481
1355.7265625,21497
1358.2265625,21490
1360.46875,21502
1362.828125,21511
1365.921875,21516
1367.9296875,21514
1370.984375,21476
1373.609375,21504
1375.671875,21507
1378.8359375,21496
1381.203125,21496
1383.8359375,21515
1386.359375,21505
1388.359375,21497
1390.1796875,21504
1391.9765625,21492
1394.2890625,21504
1396.6015625,21481
1398.9609375,21488
1401.2890625,21483
1403.015625,21485
1406.3984375,21481
1408.671875,21496
1410.9296875,21486
1413.203125,21479
1415.53125,21482
1417.875,21484
1420.1875,21480
1422.515625,21483
1425.421875,21469
1427.71875,21476
1430.5625,21484
1432.5,21495
1434.765625,21508
1437.5078125,21469
1439.8203125,21490
1442.109375,21489
1444.4140625,21487
1447.28125,21486
1449.3671875,21494
1451.375,21476
1453.6875,21467
1456.265625,21481
1458.828125,21477
1460.96875,21474
1463.390625,21474
1465.859375,21476
1468.5625,21469
1470.875,21478
1474.3671875,21475
1476.1171875,21463
1478.984375,21491
1481.3046875,21467
1483.6015625,21486
1485.890625,21483
1488.234375,21460
1490.5390625,21456
1492.8671875,21474
1495.1640625,21476
1497.4921875,21471
1499.7578125,21497
1503.1953125,21467
1505.5546875,21463
1508.1015625,21472
1510.1015625,21484
1512.375,21473
1514.671875,21473
1516.953125,21469
1519.2421875,21471
1521.5859375,21467
1523.8828125,21483
1526.171875,21470
1528.4921875,21473
1530.8125,21467
1533.1015625,21457
1535.078125,21458
1536.6640625,21463
1538.5625,21432
1540.0546875,21434
1541.53125,21452
1543.390625,21461
1545.2578125,21420
1546.7421875,21450
1547.8515625,21434
1549.6953125,21441
1551.203125,21437
1552.6875,21417
1554.8984375,21419
1556.390625,21446
1558.2578125,21410
1560.8125,21351
1562.6796875,21444
1563.8125,21429
1565.671875,21421
1567.1484375,21405
1568.9765625,21402
1570.8359375,21409
1572.6953125,21379
1574.5625,21404
1576.4140625,21398
1578.25,21406
1580.0859375,21361
1581.9296875,21411
1583.7890625,21401
1585.2734375,21385
1587.1171875,21391
1588.96875,21407
1590.4453125,21388
1592.3125,21368
1594.1640625,21415
1595.6484375,21383
1597.125,21424
1598.9765625,21390
1600.859375,21374
1602.7578125,21382
1604.8515625,21392
1606.90625,21341
1609.28125,21455
1611.0703125,21466
1614.9140625,21452
1616.921875,21435
1618.9921875,21462
1621.5703125,21446
1623.9609375,21446
1626.1796875,21430
1627.65625,21440
1631.3125,21467
1633.234375,21465
1635.125,21462
1637.2109375,21464
1639.0859375,21458
1640.875,21471
1642.4765625,21466
1644.1796875,21457
1646.359375,21466
1648.4921875,21475
1650.4375,21477
1652.4609375,21470
1654.5703125,21488
1656.7421875,21458
1658.9140625,21464
1661.1015625,21465
1662.9609375,21460
