time [s],NN_interval [s/256](/api/datatype/318/)
132.4296875,126
132.93359375,129
133.4453125,131
133.9609375,132
134.47265625,131
134.984375,131
135.5,132
136.015625,132
136.55078125,137
137.05859375,130
137.546875,125
176.2734375,132
176.79296875,133
177.2890625,127
177.8046875,132
178.2890625,124
178.78125,126
179.2734375,126
179.76953125,127
180.26953125,128
180.7734375,129
181.28515625,131
181.7734375,125
182.27734375,129
182.7890625,131
183.296875,130
183.80078125,129
184.2890625,125
184.79296875,129
185.27734375,124
185.78515625,130
186.29296875,130
186.81640625,134
187.32421875,130
187.83203125,130
188.33984375,130
188.859375,133
189.375,132
189.89453125,133
190.41796875,134
190.93359375,132
191.46484375,136
192.0078125,139
192.5546875,140
193.109375,142
193.66015625,141
194.1875,135
194.7265625,138
195.26953125,139
195.80859375,138
196.3515625,139
196.890625,138
197.41796875,135
197.9453125,135
198.4765625,136
199.01171875,137
199.5546875,139
200.1015625,140
200.66015625,143
201.22265625,144
201.765625,139
202.3046875,138
202.8515625,140
203.39453125,139
203.9375,139
204.48828125,141
205.01953125,136
205.5546875,137
206.08984375,137
206.60546875,132
207.13671875,136
207.68359375,140
208.25,145
208.83984375,151
209.453125,157
210.078125,160
210.6796875,154
211.26953125,151
211.84375,147
212.41015625,145
212.9765625,145
213.52734375,141
214.08203125,142
214.62890625,140
215.18359375,142
215.734375,141
216.296875,144
216.8515625,142
217.40625,142
217.97265625,145
218.546875,147
219.1171875,146
219.66796875,141
220.23046875,144
220.796875,145
221.3515625,142
221.90234375,141
222.46484375,144
223.01953125,142
223.5703125,141
224.12890625,143
224.6875,143
225.24609375,143
225.80859375,144
226.3671875,143
226.921875,142
227.46875,140
228.03125,144
228.609375,148
229.2109375,154
229.82421875,157
230.43359375,156
231.03125,153
231.6171875,150
232.21484375,153
232.8125,153
233.39453125,149
233.96875,147
234.53125,144
235.0859375,142
235.6484375,144
236.203125,142
236.74609375,139
237.29296875,140
237.86328125,146
238.41015625,140
242.234375,152
242.87109375,163
243.53515625,170
244.19921875,170
244.8515625,167
245.48046875,161
246.1015625,159
246.71875,158
247.31640625,153
247.90234375,150
248.49609375,152
249.09375,153
249.69140625,153
250.2734375,149
250.8515625,148
251.421875,146
251.98828125,145
252.5625,147
253.12890625,145
253.6953125,145
254.26953125,147
254.84765625,148
255.42578125,148
255.98828125,144
256.55078125,144
257.12109375,146
257.6875,145
258.24609375,143
258.80078125,142
259.35546875,142
259.90234375,140
270.05859375,130
270.57421875,132
271.08203125,130
271.59765625,132
272.10546875,130
272.609375,129
273.12109375,131
273.640625,133
274.15625,132
274.66796875,131
275.1875,133
275.70703125,133
276.25,139
276.77734375,135
277.31640625,138
277.84375,135
278.38671875,139
278.91796875,136
279.453125,137
279.97265625,133
280.4765625,129
280.9921875,132
281.5078125,132
282.02734375,133
282.5546875,135
283.078125,134
283.61328125,137
284.15625,139
284.703125,140
285.24609375,139
285.79296875,140
286.33984375,140
286.88671875,140
287.421875,137
287.9453125,134
288.46484375,133
288.98828125,134
289.5078125,133
290.0234375,132
290.5390625,132
291.05859375,133
291.58203125,134
292.1171875,137
292.65234375,137
293.17578125,134
293.703125,135
294.23046875,135
294.765625,137
295.28125,132
295.79296875,131
296.30859375,132
296.82421875,132
297.33203125,130
297.8515625,133
298.35546875,129
298.8515625,127
299.359375,130
299.875,132
300.39453125,133
300.88671875,126
301.3984375,131
301.91015625,131
302.4375,135
302.9609375,134
303.48828125,135
304.015625,135
304.53515625,133
305.05078125,132
305.58984375,138
306.10546875,132
306.64453125,138
307.20703125,144
307.734375,135
308.27734375,139
308.81640625,138
309.35546875,138
309.90625,141
