time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,2.0
10.0,5.0
1668.0,1.0
1676.0,5.0
1727.0,1.0
1735.0,2.0
1739.0,5.0
1754.5,nan
