time [s],inspiration [NA](/api/datatype/34/)
2.765625,21179
4.734375,21169
9.7265625,21163
12.0625,21177
15.171875,21195
17.7109375,21200
20.2109375,21189
22.015625,21200
26.2734375,21217
29.1015625,21188
32.4375,21170
39.0234375,21194
41.9453125,21189
44.71875,21178
47.625,21176
49.671875,21171
51.8359375,21186
54.6015625,21179
57.2421875,21177
60.1953125,21188
63.03125,21179
66.6953125,21186
70.515625,21189
72.328125,21170
74.828125,21149
80.3203125,21172
83.4375,21165
86.671875,21173
88.203125,21156
90.578125,21165
92.953125,21179
96.75,21178
102.3046875,21181
105.9921875,21170
107.8046875,21188
111.6328125,21210
114.0546875,21192
122.2734375,21198
124.6640625,21183
128.65625,21175
131.859375,21179
134.46875,21180
136.8984375,21177
139.46875,21177
141.90625,21173
143.9140625,21166
145.578125,21120
147.0390625,21164
149.4453125,21130
152.5234375,21175
155.390625,21184
156.84375,21155
159.7578125,21156
162.0625,21134
164.9453125,21144
173.3125,21179
177.4375,21171
180.0,21186
181.5390625,21167
183.765625,21190
185.40625,21136
187.9765625,21203
190.515625,21193
193.0859375,21203
194.8828125,21198
197.046875,21180
199.7265625,21179
201.4609375,21195
203.28125,21150
209.2578125,21109
213.625,21151
215.0625,21101
221.2890625,21196
223.453125,21184
225.9453125,21190
229.8125,21186
233.6640625,21195
235.5,21186
237.15625,21200
240.6796875,21178
245.8515625,21187
249.6015625,21172
251.9921875,21155
259.9375,21186
265.0234375,21161
267.6171875,21153
272.0859375,21164
274.9453125,21162
277.796875,21166
280.3203125,21171
283.2578125,21177
286.09375,21185
288.2421875,21185
291.3046875,21180
295.0859375,21184
297.4140625,21198
299.9375,21191
302.6015625,21191
305.4140625,21193
307.71875,21196
310.578125,21192
312.78125,21178
315.3671875,21188
317.2890625,21178
319.53125,21164
322.2890625,21181
324.7734375,21190
328.984375,21162
331.28125,21174
333.671875,21155
338.6171875,21195
341.3984375,21205
343.8046875,21202
346.4609375,21188
349.09375,21189
351.2109375,21188
353.734375,21190
356.0078125,21202
358.390625,21201
360.4765625,21185
363.4609375,21199
365.7578125,21198
367.78125,21204
370.421875,21205
372.1640625,21209
373.8515625,21170
375.8828125,21190
377.4765625,21141
380.7265625,21199
382.765625,21187
385.2890625,21178
387.3828125,21204
390.375,21199
392.6015625,21208
394.765625,21198
396.671875,21198
398.703125,21192
400.703125,21199
402.8828125,21194
404.90625,21197
406.84375,21192
409.2421875,21200
410.3828125,21194
412.1953125,21202
414.234375,21209
417.515625,21176
420.25,21174
422.4921875,21194
424.9375,21186
427.625,21195
430.5234375,21199
432.75,21213
435.1953125,21214
438.4609375,21178
442.5546875,21209
444.8359375,21185
451.3671875,21202
453.609375,21180
456.2578125,21153
458.3046875,21129
461.921875,21193
463.828125,21147
465.2578125,21170
466.4296875,21165
467.8828125,21187
470.21875,21180
471.5703125,21134
472.9296875,21176
474.6328125,21192
477.828125,21145
479.9921875,21181
481.765625,21145
484.0859375,21181
485.8671875,21200
487.5078125,21195
489.375,21203
491.28125,21204
493.0859375,21201
494.9140625,21202
496.4921875,21204
498.109375,21205
501.2109375,21195
503.2421875,21189
505.125,21204
506.8828125,21204
508.6484375,21212
511.0703125,21203
512.828125,21207
514.7890625,21205
516.875,21213
519.1171875,21220
521.421875,21215
523.46875,21224
525.296875,21214
527.1328125,21218
528.984375,21208
531.109375,21218
532.9921875,21220
535.34375,21202
537.390625,21216
539.0546875,21178
540.765625,21182
542.9140625,21203
544.7890625,21205
546.53125,21203
548.4609375,21213
550.6796875,21224
553.0078125,21219
555.09375,21228
557.296875,21223
559.78125,21206
564.84375,21193
568.265625,21208
570.0234375,21204
572.0703125,21226
573.5859375,21179
575.46875,21228
577.28125,21207
578.5078125,21170
579.7109375,21211
581.421875,21222
582.9609375,21188
584.3046875,21194
586.8828125,21183
588.828125,21202
590.78125,21192
592.578125,21191
593.984375,21193
595.8359375,21194
596.9765625,21177
599.109375,21208
600.8828125,21184
602.6796875,21205
605.1015625,21226
607.2734375,21207
609.203125,21202
611.640625,21206
614.6484375,21189
616.4296875,21192
619.578125,21195
621.71875,21190
623.4140625,21158
625.5078125,21179
627.7578125,21190
630.0390625,21192
631.5703125,21194
632.9609375,21197
634.515625,21202
635.8671875,21182
636.90625,21182
639.03125,21188
640.4453125,21193
644.609375,21220
647.0546875,21214
649.3671875,21185
652.21875,21197
653.1875,21192
656.6328125,21229
658.4921875,21199
660.3203125,21190
661.671875,21212
663.015625,21200
665.421875,21210
667.0078125,21188
668.828125,21222
669.9375,21230
673.1015625,21187
674.9453125,21169
678.6171875,21198
680.765625,21210
682.796875,21201
684.7109375,21212
687.0625,21205
689.2890625,21201
692.1015625,21204
693.4921875,21200
695.2734375,21203
697.7109375,21152
700.1171875,21170
703.109375,21190
705.25,21179
707.4765625,21200
709.5,21138
711.953125,21200
713.5625,21148
715.515625,21128
716.5234375,21080
718.1875,21167
722.3984375,21166
726.375,21165
727.9296875,21099
731.78125,21165
733.09375,21148
737.984375,21188
741.109375,21186
742.5234375,21173
746.828125,21107
751.65625,21163
756.453125,21193
759.03125,21198
761.296875,21163
764.046875,21194
766.171875,21200
768.265625,21199
772.015625,21172
773.71875,21181
776.5546875,21215
778.71875,21189
781.265625,21197
782.7265625,21205
786.0703125,21210
787.9453125,21217
790.0625,21197
791.8671875,21195
793.7421875,21209
795.4296875,21210
796.9296875,21204
801.265625,21176
802.3203125,21148
805.3515625,21198
807.1328125,21200
808.6875,21189
810.359375,21208
811.8984375,21212
813.4765625,21209
817.328125,21207
819.1875,21205
820.6953125,21202
822.328125,21191
823.2265625,21187
826.8828125,21190
828.4765625,21137
830.6796875,21187
833.21875,21204
835.3125,21200
836.7265625,21215
838.8203125,21182
843.109375,21215
845.1171875,21193
846.765625,21201
848.1796875,21217
851.4609375,21217
853.375,21218
855.0625,21205
856.9140625,21197
859.234375,21181
862.796875,21208
865.1953125,21221
867.0390625,21210
871.7734375,21216
875.453125,21185
876.9296875,21196
880.609375,21215
884.8515625,21221
888.03125,21221
891.3828125,21231
894.2265625,21224
896.890625,21231
900.1328125,21243
901.796875,21231
903.8671875,21230
905.671875,21214
908.96875,21237
911.5078125,21239
916.0234375,21232
920.2421875,21166
923.265625,21223
927.5234375,21172
931.6171875,21203
933.1640625,21188
934.8515625,21192
937.171875,21209
940.25,21210
942.6875,21209
944.203125,21192
945.2734375,21190
950.4375,21216
953.0234375,21188
954.2578125,21181
957.828125,21204
961.2578125,21208
963.25,21208
965.1328125,21217
967.265625,21216
970.9453125,21229
972.4765625,21205
