time [s],RR_interval [s/256](/api/datatype/18/)
5.11328125,0
5.625,131
6.4140625,202
7.20703125,203
7.73046875,134
8.37890625,166
9.25,223
9.734375,124
11.046875,336
12.29296875,319
12.7109375,107
14.08203125,351
14.95703125,224
15.4765625,133
15.81640625,87
16.67578125,220
17.0703125,101
17.69140625,159
18.48828125,204
18.953125,119
19.72265625,197
20.58984375,222
21.32421875,188
22.11328125,202
22.7421875,161
23.0078125,68
23.6640625,168
23.953125,74
24.83203125,225
25.75390625,236
26.87109375,286
27.2578125,99
27.57421875,81
27.9765625,103
28.6015625,160
29.29296875,177
29.5703125,71
29.93359375,93
30.6171875,175
31.2890625,172
31.97265625,175
32.640625,171
33.265625,160
33.94140625,173
34.55078125,156
35.203125,167
35.83203125,161
36.3359375,129
37.03515625,179
37.4765625,113
38.46875,254
39.12890625,169
39.7421875,157
40.47265625,187
41.109375,163
41.66796875,143
42.3046875,163
43.12890625,211
43.515625,99
44.39453125,225
44.8984375,129
45.62890625,187
46.26953125,164
46.9375,171
47.51171875,147
48.453125,241
48.78515625,85
49.265625,123
49.80078125,137
50.13671875,86
50.86328125,186
52.09375,315
52.5,104
53.87890625,353
54.98046875,282
55.84765625,222
56.2890625,113
56.59375,78
56.953125,92
57.48828125,137
57.95703125,120
59.27734375,338
59.84765625,146
60.453125,155
61.05078125,153
61.5859375,137
62.41796875,213
62.8359375,107
64.265625,366
64.56640625,77
65.171875,155
66.17578125,257
66.9375,195
67.5546875,158
68.51953125,247
69.71875,307
70.03515625,81
70.3828125,89
72.4375,526
73.1484375,182
73.48046875,85
74.546875,273
75.5703125,262
76.60546875,265
77.05078125,114
77.46875,107
77.9453125,122
78.28515625,87
78.625,87
79.328125,180
80.390625,272
80.79296875,103
81.2109375,107
81.66015625,115
81.93359375,70
82.921875,253
83.2578125,86
83.57421875,81
84.15625,149
86.25,536
86.94140625,177
87.69140625,192
88.640625,243
88.8984375,66
89.6015625,180
90.81640625,311
91.35546875,138
92.5234375,299
92.921875,102
93.5625,164
93.984375,108
94.453125,120
95.28515625,213
96.07421875,202
96.64453125,146
97.53515625,228
98.28515625,192
99.02734375,190
99.40625,97
99.73828125,85
100.44921875,182
101.10546875,168
101.46484375,92
101.8203125,91
102.375,142
102.8203125,114
104.41796875,409
104.7890625,95
105.46875,174
105.7734375,78
106.14453125,95
106.484375,87
107.10546875,159
108.0625,245
108.625,144
109.24609375,159
109.95703125,182
110.5859375,161
111.19140625,155
111.8671875,173
112.484375,158
113.13671875,167
113.79296875,168
114.41796875,160
115.06640625,166
115.69921875,162
116.29296875,152
116.9375,165
117.58984375,167
118.23046875,164
118.86328125,162
119.44921875,150
120.66796875,312
121.12890625,118
121.81640625,176
122.6640625,217
123.31640625,167
125.03125,439
125.28515625,65
126.37890625,280
126.98828125,156
127.74609375,194
128.32421875,148
128.69140625,94
129.18359375,126
129.53125,89
130.25390625,185
130.62109375,94
130.95703125,86
131.4296875,121
132.40625,250
133.84765625,369
134.37890625,136
135.1875,207
135.44140625,65
136.21484375,198
136.578125,93
137.2578125,174
138.640625,354
140.015625,352
140.29296875,71
140.734375,113
141.58984375,219
142.81640625,314
143.390625,147
144.09765625,181
144.9375,215
146.12890625,305
146.7265625,153
147.734375,258
