time [s],inspiration [NA](/api/datatype/34/)
2.2578125,21439
4.7890625,21436
9.1875,21455
11.390625,21440
13.5703125,21449
16.5390625,21460
17.7890625,21480
19.3515625,21473
21.6953125,21485
23.0,21487
24.59375,21479
26.0390625,21481
29.6953125,21497
31.078125,21471
32.8671875,21485
34.4453125,21496
35.8984375,21493
37.53125,21474
41.0625,21422
44.6328125,21495
45.8515625,21485
47.3359375,21475
48.7109375,21480
50.8125,21490
52.609375,21481
54.59375,21485
56.515625,21484
58.15625,21478
60.1171875,21486
62.046875,21482
64.0703125,21488
66.2890625,21490
67.6953125,21499
70.5078125,21465
71.8125,21471
73.9765625,21476
76.046875,21472
78.140625,21481
79.9296875,21474
81.6640625,21479
83.359375,21469
85.2421875,21475
86.6171875,21475
88.25,21490
89.3359375,21483
90.9609375,21482
92.0625,21473
93.8984375,21482
95.8671875,21481
98.5859375,21481
99.9296875,21470
100.7578125,21479
101.515625,21476
103.15625,21469
105.0,21487
106.9140625,21480
108.9140625,21482
111.0546875,21482
112.7734375,21482
117.9375,21492
121.2109375,21501
122.3828125,21476
123.828125,21482
126.5703125,21489
128.609375,21477
130.2421875,21479
134.5859375,21478
136.03125,21465
138.2890625,21470
140.453125,21480
143.03125,21486
144.5078125,21491
148.4375,21487
150.84375,21486
152.640625,21478
154.71875,21477
156.5234375,21484
158.3671875,21478
159.96875,21483
161.8359375,21473
163.453125,21478
165.296875,21478
166.875,21478
168.84375,21482
170.65625,21483
172.34375,21490
174.796875,21484
176.609375,21484
178.171875,21488
180.234375,21481
182.2578125,21480
183.8671875,21487
185.984375,21493
188.1171875,21486
190.4453125,21482
192.3046875,21483
194.0390625,21487
196.171875,21490
198.28125,21489
199.65625,21485
201.71875,21490
203.5,21487
205.28125,21488
207.015625,21488
208.671875,21490
210.2578125,21490
212.140625,21479
214.375,21489
216.078125,21478
217.96875,21486
219.5546875,21460
221.5390625,21482
223.546875,21491
225.2578125,21486
226.4453125,21482
228.0625,21487
230.1484375,21484
231.6171875,21485
233.71875,21490
234.9609375,21487
236.2109375,21480
237.7578125,21486
239.546875,21479
241.2890625,21481
243.0859375,21486
244.640625,21480
246.5078125,21489
248.265625,21477
249.9453125,21483
251.75,21479
254.0546875,21488
256.3125,21485
