time [s],step [Step](/api/datatype/52/)
0.703125,1
3.515625,2
4.09375,3
4.9375,4
5.40625,5
5.96875,6
8.53125,7
9.65625,8
11.96875,9
12.734375,10
13.140625,11
14.234375,12
14.78125,13
15.28125,14
15.90625,15
16.265625,16
16.9375,17
17.28125,18
17.96875,19
18.328125,20
18.984375,21
19.375,22
19.953125,23
20.359375,24
20.90625,25
21.296875,26
21.703125,27
22.234375,28
22.65625,29
23.203125,30
23.78125,31
24.125,32
24.765625,33
25.125,34
25.71875,35
26.109375,36
26.671875,37
27.0625,38
27.6875,39
28.03125,40
28.671875,41
29.03125,42
29.65625,43
30.03125,44
30.625,45
31.0,46
31.609375,47
31.9375,48
32.5625,49
32.921875,50
33.546875,51
33.875,52
34.5,53
34.90625,54
35.484375,55
35.890625,56
36.4375,57
36.859375,58
37.421875,59
38.0,60
38.625,61
39.078125,62
39.5,63
40.03125,64
40.46875,65
41.0,66
41.40625,67
41.953125,68
42.328125,69
42.921875,70
43.234375,71
43.828125,72
44.234375,73
44.75,74
45.15625,75
45.703125,76
46.046875,77
46.6875,78
47.078125,79
47.671875,80
48.078125,81
48.65625,82
49.046875,83
49.671875,84
50.046875,85
50.6875,86
51.09375,87
51.671875,88
52.046875,89
52.6875,90
53.0,91
53.65625,92
54.015625,93
54.625,94
54.953125,95
55.5,96
55.890625,97
56.5,98
56.84375,99
57.421875,100
57.84375,101
58.390625,102
58.765625,103
59.3125,104
59.671875,105
60.234375,106
60.59375,107
61.15625,108
61.5,109
62.046875,110
62.4375,111
62.984375,112
63.359375,113
63.921875,114
64.296875,115
64.875,116
65.25,117
65.796875,118
66.1875,119
66.75,120
67.125,121
67.671875,122
68.09375,123
68.625,124
68.953125,125
69.578125,126
69.90625,127
70.5,128
70.890625,129
71.4375,130
71.859375,131
72.390625,132
72.75,133
73.3125,134
73.703125,135
74.296875,136
74.71875,137
75.265625,138
75.609375,139
76.203125,140
76.546875,141
77.15625,142
77.5,143
78.09375,144
78.515625,145
79.078125,146
79.421875,147
80.015625,148
80.4375,149
80.953125,150
81.359375,151
81.875,152
82.25,153
82.796875,154
83.265625,155
83.765625,156
84.171875,157
84.734375,158
85.140625,159
85.734375,160
86.09375,161
86.84375,162
87.25,163
88.390625,164
96.46875,165
97.03125,166
97.53125,167
98.203125,168
98.59375,169
99.140625,170
99.46875,171
100.09375,172
100.421875,173
101.0625,174
101.421875,175
101.96875,176
102.296875,177
102.90625,178
103.234375,179
103.875,180
104.28125,181
104.8125,182
105.1875,183
105.8125,184
106.203125,185
106.765625,186
107.1875,187
107.78125,188
108.109375,189
108.765625,190
109.15625,191
109.625,192
110.109375,193
110.71875,194
111.0625,195
111.6875,196
112.015625,197
112.6875,198
113.0625,199
113.640625,200
113.984375,201
114.59375,202
115.015625,203
115.578125,204
115.953125,205
116.53125,206
116.9375,207
117.453125,208
117.90625,209
118.4375,210
118.828125,211
119.390625,212
119.703125,213
120.359375,214
120.671875,215
121.3125,216
121.625,217
122.25,218
122.59375,219
123.234375,220
123.546875,221
124.203125,222
124.515625,223
125.171875,224
125.515625,225
126.140625,226
126.546875,227
127.09375,228
127.515625,229
128.0625,230
128.484375,231
129.015625,232
129.421875,233
130.0,234
130.359375,235
131.0,236
131.328125,237
131.96875,238
132.296875,239
132.921875,240
133.296875,241
133.890625,242
134.234375,243
134.828125,244
135.1875,245
135.796875,246
136.125,247
136.765625,248
137.15625,249
137.75,250
138.140625,251
138.734375,252
139.078125,253
139.71875,254
140.046875,255
140.6875,256
141.015625,257
141.640625,258
141.96875,259
142.59375,260
142.9375,261
143.578125,262
143.890625,263
144.53125,264
144.875,265
145.515625,266
145.921875,267
146.46875,268
146.890625,269
147.421875,270
147.8125,271
148.390625,272
148.8125,273
149.375,274
149.765625,275
150.375,276
150.796875,277
151.84375,278
153.046875,279
153.625,280
154.171875,281
154.796875,282
155.203125,283
155.84375,284
156.140625,285
156.796875,286
157.171875,287
157.828125,288
158.140625,289
158.8125,290
159.203125,291
159.65625,292
160.15625,293
160.78125,294
161.1875,295
161.78125,296
162.15625,297
162.78125,298
163.109375,299
163.75,300
164.078125,301
164.703125,302
165.046875,303
165.640625,304
166.03125,305
166.59375,306
166.984375,307
167.5625,308
167.9375,309
168.53125,310
168.90625,311
169.4375,312
169.875,313
170.421875,314
170.828125,315
171.375,316
171.78125,317
172.375,318
172.71875,319
173.359375,320
173.6875,321
174.328125,322
174.640625,323
175.296875,324
175.609375,325
176.25,326
176.59375,327
177.21875,328
177.640625,329
178.0625,330
178.5625,331
179.21875,332
179.65625,333
180.1875,334
180.5625,335
181.140625,336
181.53125,337
182.109375,338
182.515625,339
183.078125,340
183.484375,341
184.078125,342
184.40625,343
185.046875,344
185.484375,345
186.046875,346
186.421875,347
187.046875,348
187.375,349
188.015625,350
188.34375,351
188.96875,352
189.296875,353
189.9375,354
190.296875,355
190.921875,356
191.34375,357
191.859375,358
192.265625,359
