time [s],RR_interval [s/256](/api/datatype/18/)
5.52734375,0
6.26953125,190
7.0234375,193
7.484375,118
7.828125,88
8.42578125,153
8.76953125,88
9.18359375,106
9.828125,165
10.26171875,111
10.796875,137
11.37890625,149
11.8671875,125
12.96484375,281
13.55859375,152
14.12109375,144
14.6328125,131
15.125,126
15.5234375,102
16.2890625,196
17.14453125,219
17.58984375,114
17.9140625,83
18.7890625,224
19.26953125,123
20.25,251
20.56640625,81
21.3203125,193
21.77734375,117
22.2578125,123
22.73046875,121
23.375,165
23.66015625,73
24.40234375,190
25.13671875,188
25.5078125,95
26.11328125,155
26.59375,123
27.04296875,115
27.57421875,136
28.0703125,127
28.58203125,131
29.06640625,124
29.56640625,128
29.98046875,106
30.296875,81
30.82421875,135
31.23046875,104
31.70703125,122
32.0,75
32.48046875,123
32.921875,113
33.35546875,111
33.703125,89
34.1796875,122
34.4609375,72
35.1953125,188
35.66015625,119
36.421875,195
36.8125,100
37.078125,68
37.3671875,74
37.67578125,79
38.01953125,88
38.67578125,168
39.01953125,88
39.375,91
39.91796875,139
40.25,85
40.5390625,74
40.92578125,99
41.421875,127
41.71875,76
42.3515625,162
42.66796875,81
43.33203125,170
43.98828125,168
44.4609375,121
45.43359375,249
45.90625,121
46.5234375,158
46.890625,94
47.34765625,117
47.96875,159
48.44921875,123
48.828125,97
49.375,140
49.8515625,122
50.32421875,121
51.0703125,191
51.39453125,83
52.23828125,216
52.55078125,80
52.86328125,80
53.171875,79
53.796875,160
54.1171875,82
54.48828125,95
54.796875,79
55.328125,136
55.7265625,102
56.05078125,83
56.37109375,82
56.6796875,79
56.93359375,65
57.33984375,104
57.91015625,146
58.2890625,97
58.54296875,65
58.95703125,106
59.2265625,69
60.01171875,201
60.69140625,174
61.06640625,96
61.73828125,172
61.99609375,66
62.44140625,114
63.328125,227
64.10546875,199
64.38671875,72
64.76171875,96
65.04296875,72
65.33984375,76
65.75390625,106
66.21875,119
66.6640625,114
67.1796875,132
67.6015625,108
68.04296875,113
68.52734375,124
69.0078125,123
69.28515625,71
69.9453125,169
70.41796875,121
71.12890625,182
71.390625,67
72.00390625,157
72.29296875,74
72.58984375,76
72.89453125,78
73.23046875,86
73.828125,153
74.4609375,162
74.72265625,67
75.41015625,176
75.7265625,81
76.12109375,101
76.38671875,68
76.87109375,124
77.2421875,95
77.70703125,119
78.28125,147
78.6484375,94
78.984375,86
79.48046875,127
80.1796875,179
80.55859375,97
80.84375,73
81.30078125,117
82.140625,215
82.66015625,133
82.96875,79
83.4296875,118
83.859375,110
84.76171875,231
85.06640625,78
85.32421875,66
85.859375,137
86.5625,180
87.15234375,151
87.78125,161
88.42578125,165
88.84765625,108
89.1953125,89
89.70703125,131
90.2265625,133
90.765625,138
91.9609375,306
92.66796875,181
93.4375,197
94.8125,352
95.26171875,115
95.74609375,124
96.1015625,91
96.44921875,89
96.83203125,98
97.35546875,134
97.80078125,114
98.0703125,69
98.3828125,80
98.93359375,141
99.765625,213
100.44140625,173
100.9765625,137
101.6328125,168
102.1328125,128
102.66796875,137
103.26953125,154
103.65625,99
104.04296875,99
104.71484375,172
105.0,73
105.9140625,234
106.41796875,129
106.91015625,126
107.43359375,134
107.859375,109
108.37890625,133
108.95703125,148
109.5625,155
110.16796875,155
110.5,85
110.85546875,91
111.1484375,75
111.8671875,184
112.27734375,105
112.8828125,155
113.3828125,128
113.8046875,108
114.2734375,120
114.78515625,131
115.04296875,66
115.35546875,80
115.734375,97
116.1953125,118
116.453125,66
116.93359375,123
117.25390625,82
117.66015625,104
118.125,119
118.6171875,126
119.13671875,133
120.0546875,235
120.3359375,72
120.93359375,153
121.49609375,144
121.79296875,76
122.15234375,92
122.4453125,75
123.0,142
123.421875,108
123.859375,112
124.38671875,135
124.93359375,140
125.3671875,111
125.80078125,111
126.07421875,70
127.26171875,304
127.73046875,120
128.28515625,142
128.73828125,116
129.2265625,125
129.62109375,101
129.9453125,83
130.2109375,68
130.77734375,145
131.18359375,104
131.62890625,114
132.140625,131
132.60546875,119
133.3359375,187
133.7890625,116
134.0703125,72
134.734375,170
135.03515625,77
135.5625,135
136.00390625,113
136.45703125,116
136.890625,111
137.421875,136
138.41015625,253
138.9453125,137
139.4921875,140
139.8984375,104
140.34765625,115
140.8046875,117
141.26953125,119
141.7578125,125
142.2578125,128
142.51953125,67
142.8125,75
143.3359375,134
143.75390625,107
144.44140625,176
144.96875,135
145.4375,120
145.70703125,69
146.6015625,229
146.90625,78
147.31640625,105
147.61328125,76
148.04296875,110
148.53515625,126
149.0625,135
149.578125,132
150.03125,116
150.5390625,130
151.0859375,140
151.66796875,149
152.26953125,154
153.43359375,298
154.01171875,148
154.61328125,154
154.94140625,84
155.421875,123
155.76953125,89
156.453125,175
156.90234375,115
157.61328125,182
158.03515625,108
158.59375,143
159.00390625,105
159.4296875,109
159.75,82
160.421875,172
160.99609375,147
161.4296875,111
161.98046875,141
162.421875,113
162.69140625,69
162.96875,71
163.41015625,113
163.6953125,73
163.953125,66
164.3515625,102
164.87109375,133
165.2734375,103
165.5625,74
165.83203125,69
166.39453125,144
167.2265625,213
167.51171875,73
168.28515625,198
168.54296875,66
168.9375,101
169.5703125,162
170.10546875,137
170.58984375,124
171.1015625,131
171.59375,126
172.14453125,141
172.80859375,170
173.0625,65
173.4609375,102
173.94140625,123
174.453125,131
174.75390625,77
175.08203125,84
175.4765625,101
175.875,102
176.4375,144
177.19140625,193
177.83984375,166
178.34765625,130
178.70703125,92
178.98046875,70
179.3828125,103
179.80078125,107
180.3359375,137
180.8203125,124
181.36328125,139
181.8203125,117
182.3203125,128
182.7890625,120
183.265625,122
183.7890625,134
184.28125,126
184.8125,136
185.71875,232
186.17578125,117
186.44140625,68
186.80078125,92
187.17578125,96
187.70703125,136
188.1796875,121
188.7265625,140
189.6015625,224
190.109375,130
190.5703125,118
190.8515625,72
191.30859375,117
191.5625,65
192.07421875,131
192.55859375,124
193.05078125,126
193.5625,131
194.0078125,114
194.4765625,120
194.9765625,128
195.67578125,179
195.94921875,70
196.375,109
196.81640625,113
197.3046875,125
197.59375,74
198.2734375,174
198.5390625,68
198.796875,66
199.27734375,123
199.73828125,118
200.2265625,125
200.71875,126
201.1953125,122
201.6796875,124
202.140625,118
202.66015625,133
203.07421875,106
203.63671875,144
204.09765625,118
204.3515625,65
204.6171875,68
205.07421875,117
205.52734375,116
205.8125,73
206.06640625,65
206.33203125,68
206.58984375,66
207.046875,117
207.5078125,118
207.76953125,67
208.3046875,137
208.99609375,177
209.30078125,78
210.05078125,192
210.328125,71
210.98828125,169
211.43359375,114
212.03515625,154
213.33984375,334
213.76953125,110
214.23046875,118
214.49609375,68
215.23046875,188
215.703125,121
216.3046875,154
216.7890625,124
217.46484375,173
218.23828125,198
218.92578125,176
220.296875,351
220.8046875,130
221.37109375,145
221.89453125,134
222.484375,151
223.0859375,154
223.70703125,159
223.984375,71
224.51171875,135
225.1015625,151
225.8046875,180
226.1953125,100
227.03125,214
227.62109375,151
228.0703125,115
228.66015625,151
229.18359375,134
229.625,113
230.125,128
230.41015625,73
230.67578125,68
231.17578125,128
231.7578125,149
232.265625,130
233.09375,212
233.5390625,114
234.14453125,155
234.625,123
235.28515625,169
235.71484375,110
235.9921875,71
236.43359375,113
236.99609375,144
237.6796875,175
238.09375,106
238.7890625,178
239.421875,162
239.74609375,83
240.45703125,182
240.77734375,82
241.3671875,151
241.80859375,113
242.8359375,263
243.5546875,184
244.17578125,159
244.5,83
244.92578125,109
245.32421875,102
245.71484375,100
246.1015625,99
246.35546875,65
246.8515625,127
247.60546875,193
248.1328125,135
248.72265625,151
249.265625,139
249.74609375,123
250.23046875,124
250.52734375,76
251.2578125,187
251.70703125,115
251.99609375,74
252.3984375,103
252.90625,130
253.3828125,122
253.63671875,65
254.17578125,138
254.5703125,101
255.04296875,121
255.54296875,128
255.9765625,111
256.6328125,168
257.08984375,117
257.828125,189
258.41796875,151
258.89453125,122
259.43359375,138
260.41796875,252
261.14453125,186
262.26953125,288
263.0234375,193
263.61328125,151
264.14453125,136
264.69140625,140
265.37109375,174
266.00390625,162
266.5546875,141
267.0078125,116
267.453125,114
267.93359375,123
268.39453125,118
268.7890625,101
269.23046875,113
269.83203125,154
270.421875,151
270.95703125,137
271.55859375,154
271.85546875,76
272.34765625,126
272.91796875,146
273.48828125,146
274.04296875,142
274.4140625,95
274.81640625,103
275.14453125,84
275.6171875,121
276.00390625,99
276.44921875,114
276.91015625,118
277.41796875,130
277.7734375,91
278.03515625,67
278.5546875,133
278.890625,86
279.42578125,137
279.859375,111
280.34375,124
280.890625,140
281.73828125,217
282.125,99
282.8203125,178
283.2578125,112
283.7734375,132
284.66015625,227
285.37890625,184
285.7890625,105
286.58984375,205
287.375,201
287.75390625,97
288.234375,123
288.7578125,134
289.37109375,157
289.7578125,99
290.234375,122
290.4921875,66
290.78125,74
291.05859375,71
291.3359375,71
291.96875,162
292.50390625,137
292.984375,123
293.453125,120
293.90625,116
294.41015625,129
294.91796875,130
295.51171875,152
296.0390625,135
296.5390625,128
296.9921875,116
297.53125,138
298.0703125,138
299.02734375,245
299.546875,133
300.34765625,205
300.8828125,137
301.4140625,136
301.80078125,99
302.5390625,189
302.91015625,95
303.30078125,100
303.734375,111
304.4921875,194
305.0078125,132
305.421875,106
306.046875,160
306.4140625,94
306.6875,70
307.27734375,151
308.3046875,263
308.66796875,93
309.30859375,164
309.63671875,84
310.3671875,187
310.76171875,101
311.546875,201
312.41015625,221
312.89453125,124
313.375,123
313.84765625,121
314.3359375,125
314.828125,126
315.3203125,126
315.8046875,124
316.2890625,124
316.93359375,165
317.52734375,152
317.875,89
318.1796875,78
319.3359375,296
319.8203125,124
320.34375,134
320.75,104
321.2421875,126
321.98828125,191
322.64453125,168
323.203125,143
323.8203125,158
324.18359375,93
324.609375,109
325.34375,188
