time [s],step [Step](/api/datatype/52/)
7.203125,1
7.484375,2
8.0625,3
8.359375,4
8.75,5
9.171875,6
11.1875,7
12.40625,8
51.59375,9
72.9375,10
78.953125,11
79.578125,12
80.203125,13
80.796875,14
81.421875,15
82.03125,16
82.65625,17
83.90625,18
84.53125,19
85.078125,20
86.21875,21
87.0,22
87.421875,23
88.046875,24
88.625,25
89.40625,26
89.984375,27
91.296875,28
92.265625,29
92.875,30
94.3125,31
103.484375,32
104.09375,33
104.859375,34
105.46875,35
105.859375,36
106.625,37
106.96875,38
107.515625,39
108.1875,40
108.59375,41
108.8125,42
109.125,43
109.65625,44
109.921875,45
110.21875,46
110.75,47
111.296875,48
111.84375,49
112.5,50
112.890625,51
113.453125,52
113.9375,53
114.171875,54
114.484375,55
114.984375,56
115.5625,57
116.234375,58
116.59375,59
117.125,60
117.765625,61
118.328125,62
118.75,63
119.9375,64
120.515625,65
121.03125,66
121.59375,67
122.0625,68
122.671875,69
123.125,70
123.53125,71
124.15625,72
124.75,73
125.21875,74
125.671875,75
126.0625,76
126.46875,77
126.921875,78
127.34375,79
128.046875,80
128.546875,81
129.140625,82
129.625,83
130.1875,84
130.65625,85
131.296875,86
131.765625,87
132.203125,88
132.828125,89
133.25,90
133.78125,91
134.453125,92
134.84375,93
135.375,94
136.03125,95
136.4375,96
137.109375,97
137.671875,98
138.109375,99
138.515625,100
139.1875,101
139.5625,102
140.203125,103
140.625,104
141.203125,105
141.84375,106
142.203125,107
142.71875,108
143.328125,109
143.953125,110
144.421875,111
144.859375,112
145.46875,113
145.890625,114
146.5,115
147.09375,116
147.578125,117
148.046875,118
148.6875,119
149.296875,120
149.671875,121
150.21875,122
150.84375,123
151.4375,124
151.96875,125
152.546875,126
152.9375,127
153.484375,128
154.125,129
154.6875,130
155.203125,131
155.671875,132
156.375,133
157.34375,134
158.5625,135
159.15625,136
159.671875,137
160.265625,138
160.71875,139
161.421875,140
161.828125,141
162.453125,142
162.703125,143
163.046875,144
163.578125,145
163.8125,146
164.15625,147
164.375,148
164.875,149
165.359375,150
165.75,151
166.28125,152
166.8125,153
167.34375,154
167.890625,155
168.421875,156
168.9375,157
169.578125,158
170.140625,159
170.640625,160
171.203125,161
171.59375,162
172.328125,163
172.78125,164
173.359375,165
173.765625,166
174.90625,167
175.640625,168
176.734375,169
177.125,170
177.359375,171
177.671875,172
177.96875,173
178.3125,174
178.90625,175
179.40625,176
179.9375,177
180.296875,178
180.53125,179
180.859375,180
181.390625,181
181.859375,182
182.078125,183
182.390625,184
183.0625,185
183.515625,186
183.9375,187
184.1875,188
184.5,189
185.609375,190
186.8125,191
192.0,192
200.578125,193
212.03125,194
212.671875,195
213.25,196
213.796875,197
214.359375,198
214.921875,199
215.46875,200
216.03125,201
216.578125,202
217.109375,203
217.640625,204
218.75,205
219.296875,206
219.875,207
220.421875,208
221.046875,209
221.515625,210
222.078125,211
222.640625,212
223.171875,213
223.734375,214
224.28125,215
224.84375,216
225.375,217
225.90625,218
226.4375,219
226.984375,220
227.53125,221
228.09375,222
228.640625,223
229.15625,224
229.78125,225
230.25,226
230.78125,227
231.3125,228
231.96875,229
232.578125,230
232.921875,231
234.171875,232
234.546875,233
235.15625,234
235.609375,235
236.125,236
236.828125,237
237.203125,238
237.734375,239
238.296875,240
238.796875,241
239.328125,242
240.375,243
240.9375,244
241.59375,245
241.96875,246
242.609375,247
243.203125,248
243.65625,249
244.234375,250
244.609375,251
245.359375,252
245.65625,253
246.71875,254
247.453125,255
247.765625,256
247.984375,257
248.3125,258
248.9375,259
249.984375,260
250.390625,261
251.5625,262
251.90625,263
252.578125,264
252.9375,265
253.609375,266
254.0625,267
254.46875,268
255.109375,269
255.5,270
256.0,271
256.546875,272
257.1875,273
257.59375,274
258.234375,275
258.609375,276
259.265625,277
259.671875,278
260.3125,279
260.75,280
261.28125,281
261.984375,282
262.328125,283
262.984375,284
263.359375,285
264.046875,286
264.421875,287
265.59375,288
266.21875,289
266.640625,290
267.046875,291
267.671875,292
268.265625,293
268.71875,294
269.140625,295
269.75,296
270.359375,297
270.796875,298
271.390625,299
271.75,300
272.46875,301
272.796875,302
273.5625,303
274.078125,304
275.328125,305
275.9375,306
276.484375,307
277.046875,308
277.59375,309
278.125,310
278.65625,311
279.1875,312
279.703125,313
280.234375,314
280.890625,315
281.28125,316
281.921875,317
282.34375,318
282.96875,319
283.578125,320
