time [s],inspiration [NA](/api/datatype/34/)
3.6796875,21657
6.125,21655
10.421875,21710
12.125,21715
15.359375,21718
19.0,21699
23.6015625,21688
34.015625,21707
40.1953125,21716
43.2421875,21708
45.2734375,21698
48.0390625,21703
50.6875,21705
53.2421875,21591
57.8515625,21535
60.1875,21532
62.15625,21548
64.703125,21541
67.734375,21553
70.125,21665
72.15625,21681
75.1796875,21670
76.3125,21667
81.609375,21687
83.8046875,21691
86.0859375,21677
89.8359375,21710
92.59375,21721
99.625,21710
101.6484375,21711
105.578125,21713
107.0078125,21713
109.0859375,21704
112.09375,21716
113.484375,21716
115.296875,21690
117.5234375,21714
119.5,21712
120.9609375,21714
123.0546875,21717
125.078125,21716
126.9609375,21711
128.4765625,21720
130.2890625,21719
132.390625,21716
133.875,21715
136.0234375,21699
138.59375,21703
140.8125,21711
142.9140625,21721
144.390625,21726
146.4296875,21729
148.296875,21723
149.6875,21720
151.890625,21724
153.6953125,21719
155.2265625,21721
157.3828125,21723
159.078125,21722
161.03125,21735
162.734375,21736
165.1171875,21710
167.2265625,21713
169.46875,21719
171.1171875,21706
175.546875,21723
180.2421875,21718
181.3984375,21713
183.4765625,21732
185.3125,21707
187.5,21720
188.7734375,21724
191.5078125,21732
193.1953125,21733
195.2734375,21718
197.8046875,21714
199.953125,21713
202.125,21709
205.453125,21718
207.296875,21696
208.9765625,21701
210.703125,21688
211.9375,21698
213.265625,21687
215.375,21716
217.6328125,21707
220.875,21719
222.8828125,21710
225.3359375,21721
228.2421875,21720
231.7421875,21733
233.875,21698
239.2890625,21725
241.453125,21733
243.484375,21723
245.6484375,21723
247.7421875,21727
250.8828125,21701
253.9609375,21719
257.0,21726
259.265625,21734
261.265625,21722
263.4453125,21726
266.421875,21733
268.5234375,21734
270.78125,21730
272.8359375,21722
276.6796875,21722
279.3671875,21716
280.75,21715
285.015625,21720
287.8515625,21722
290.203125,21728
292.2421875,21728
295.328125,21734
297.578125,21731
299.5234375,21730
301.578125,21718
303.8671875,21729
306.9296875,21723
309.1796875,21722
311.3203125,21726
313.3203125,21725
316.390625,21721
318.609375,21733
321.2890625,21711
323.5703125,21720
327.921875,21704
329.8046875,21710
330.90625,21703
333.3125,21731
335.3671875,21727
337.4296875,21738
339.859375,21717
342.125,21711
342.890625,21708
345.015625,21715
346.5703125,21737
348.5703125,21735
350.7421875,21715
353.609375,21708
354.953125,21702
356.0859375,21729
358.234375,21730
360.828125,21731
362.734375,21716
364.9140625,21733
367.265625,21703
368.7890625,21703
370.8203125,21704
372.9140625,21729
374.3359375,21726
376.7578125,21717
379.234375,21738
381.3359375,21721
384.25,21747
386.5,21735
389.4296875,21735
391.5,21731
393.5390625,21742
396.609375,21733
398.515625,21730
400.5859375,21739
401.9921875,21740
404.2421875,21735
406.546875,21719
409.046875,21727
411.0859375,21715
412.921875,21719
414.890625,21716
417.7578125,21710
419.875,21722
421.96875,21732
423.9921875,21717
427.1328125,21720
429.5859375,21710
431.7578125,21711
434.6796875,21717
441.1171875,21732
443.1953125,21736
444.6640625,21741
446.640625,21747
447.8828125,21745
449.8515625,21749
451.109375,21751
452.234375,21746
453.140625,21742
454.1953125,21732
455.484375,21736
458.1328125,21715
459.9296875,21730
463.421875,21712
466.078125,21702
469.328125,21712
472.6875,21702
474.9921875,21714
477.265625,21711
482.5234375,21703
486.9140625,21678
495.8046875,21670
502.46875,21697
509.078125,21716
512.46875,21725
519.8828125,21715
523.0,21721
527.2578125,21727
529.6171875,21712
532.6015625,21708
535.828125,21716
537.9296875,21718
541.203125,21708
544.3671875,21685
547.6484375,21723
550.75,21688
552.7109375,21694
555.765625,21672
560.5546875,21715
563.640625,21692
566.796875,21633
569.1875,21668
570.9375,21673
574.3984375,21664
576.703125,21688
578.4765625,21615
581.03125,21685
583.8671875,21703
585.3828125,21701
588.2890625,21689
590.640625,21659
591.9296875,21690
593.0,21704
594.1171875,21708
597.453125,21711
599.6875,21687
602.9296875,21673
609.40625,21697
611.6171875,21712
613.8046875,21696
616.8125,21710
618.046875,21684
619.5,21696
621.3515625,21704
624.328125,21709
625.6875,21697
627.703125,21716
629.84375,21725
630.90625,21708
631.9921875,21715
633.9375,21724
635.890625,21706
638.875,21703
640.359375,21727
643.625,21693
644.7578125,21720
647.671875,21708
652.2890625,21716
654.390625,21693
