time [s],expiration [NA](/api/datatype/35/)
4.6484375,21638
7.3125,21632
10.765625,21672
13.96875,21657
16.828125,21669
20.4921875,21659
26.015625,21676
35.4296875,21696
41.34375,21696
44.2578125,21683
46.2421875,21687
49.0546875,21686
52.328125,21519
56.1875,21502
58.71875,21497
60.8828125,21500
63.296875,21507
66.125,21500
68.2734375,21537
70.8359375,21639
73.4140625,21636
75.84375,21647
78.75,21569
82.296875,21668
85.484375,21653
86.6796875,21642
90.46875,21677
97.9765625,21675
100.3359375,21696
102.46875,21651
106.2578125,21676
108.421875,21675
110.59375,21680
112.7421875,21681
114.8203125,21667
115.8984375,21636
118.15625,21682
120.2109375,21684
122.3125,21687
124.421875,21689
125.5390625,21676
127.75,21686
129.890625,21695
130.96875,21690
133.078125,21680
135.1953125,21679
137.3359375,21661
139.3828125,21657
141.515625,21678
143.625,21688
145.71875,21696
147.875,21703
148.9765625,21695
151.1171875,21697
153.3203125,21700
154.40625,21694
156.609375,21696
158.2734375,21704
159.9375,21685
161.8203125,21686
164.6484375,21684
166.1328125,21668
168.125,21657
169.8515625,21686
171.9609375,21664
179.6015625,21701
180.8203125,21692
181.921875,21692
184.0,21678
186.1484375,21688
188.1640625,21682
190.203125,21666
191.9296875,21717
194.5078125,21695
196.6015625,21692
198.4609375,21695
201.09375,21640
203.109375,21678
206.34375,21683
208.0390625,21666
210.09375,21662
211.21875,21662
212.6015625,21667
213.671875,21662
216.1328125,21656
219.15625,21669
221.4921875,21683
223.6796875,21667
226.8359375,21682
229.109375,21678
233.3046875,21672
236.5078125,21594
239.8515625,21693
242.0390625,21699
244.9765625,21683
247.109375,21684
249.265625,21670
252.25,21663
255.34375,21671
257.9375,21697
260.5546875,21686
262.6796875,21690
264.796875,21692
267.1015625,21700
269.484375,21692
272.109375,21685
274.5859375,21659
277.9609375,21688
280.078125,21687
283.234375,21662
286.3515625,21672
288.703125,21665
291.5546875,21691
293.640625,21683
296.8046875,21696
298.9140625,21693
300.9921875,21688
302.5703125,21687
305.2109375,21668
308.3828125,21682
310.4921875,21692
312.625,21691
314.75,21677
317.15625,21693
320.1328125,21642
322.5625,21675
326.296875,21647
329.296875,21686
330.359375,21687
331.984375,21687
334.09375,21694
336.125,21699
338.5078125,21699
341.2890625,21665
342.5078125,21690
343.6171875,21681
345.828125,21696
347.9296875,21702
350.0390625,21695
352.1640625,21666
354.28125,21675
355.3359375,21684
356.9609375,21695
359.9921875,21688
361.6953125,21696
363.8203125,21703
366.3515625,21687
368.09375,21689
369.25,21689
371.578125,21685
373.515625,21695
375.5390625,21680
377.734375,21663
380.1484375,21681
382.5546875,21599
385.828125,21706
387.8203125,21689
390.8125,21698
392.8125,21707
395.203125,21655
397.2109375,21690
399.34375,21663
401.3359375,21689
403.2578125,21703
405.3125,21673
407.578125,21686
410.125,21683
411.984375,21663
413.640625,21653
415.765625,21640
418.578125,21674
420.484375,21684
422.6171875,21679
425.7734375,21641
428.140625,21678
430.4453125,21654
433.1796875,21625
435.4453125,21651
441.9296875,21696
443.890625,21688
445.4453125,21677
447.2421875,21699
448.7109375,21709
450.4609375,21689
451.609375,21706
452.671875,21722
453.78125,21713
454.859375,21686
457.1171875,21675
458.9765625,21664
461.6796875,21665
464.40625,21663
467.6015625,21652
470.875,21646
473.2421875,21645
476.671875,21651
478.5703125,21626
484.0078125,21623
491.9609375,21607
496.9375,21570
505.3984375,21628
510.46875,21646
514.953125,21647
521.34375,21625
524.421875,21660
528.5703125,21672
531.1640625,21660
534.0859375,21644
536.5703125,21677
539.734375,21647
542.7265625,21631
545.796875,21661
550.21875,21629
551.3671875,21618
554.390625,21643
556.5390625,21646
561.9765625,21648
566.1875,21610
567.4609375,21609
569.765625,21640
571.6796875,21613
574.984375,21643
577.7890625,21588
579.296875,21598
582.0234375,21631
584.5859375,21656
586.90625,21647
589.078125,21631
591.125,21634
592.3515625,21671
593.515625,21673
596.640625,21654
598.8515625,21658
601.03125,21629
604.3125,21600
609.84375,21654
612.3125,21659
614.59375,21666
617.4296875,21655
618.640625,21655
620.53125,21666
622.75,21653
624.890625,21669
626.9140625,21670
628.515625,21687
630.34375,21682
631.5703125,21685
633.3125,21684
634.7109375,21669
636.8203125,21663
639.6484375,21684
641.1875,21670
644.0078125,21677
646.09375,21593
649.484375,21629
653.7421875,21649
654.9375,21669
656.015625,21679
658.0390625,21674
659.203125,21678
660.234375,21686
662.171875,21640
665.5234375,21651
666.6015625,21679
667.7421875,21691
669.609375,21667
670.6640625,21620
672.65625,21659
673.828125,21669
675.921875,21695
677.171875,21709
678.0625,21715
679.125,21724
680.5234375,21668
681.5703125,21698
682.421875,21688
683.0,21690
684.9609375,21685
687.296875,21653
688.0078125,21662
689.0546875,21687
690.15625,21667
691.03125,21668
692.296875,21638
693.5859375,21649
694.3046875,21653
695.546875,21673
696.625,21676
697.7109375,21676
699.125,21622
701.2421875,21614
702.296875,21621
702.8359375,21620
703.8828125,21635
705.9609375,21695
707.0,21700
