time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.20703125,129
5.54296875,129
6.2578125,129
6.83984375,129
7.58984375,129
7.97265625,129
8.31640625,129
9.15234375,1
9.56640625,1
10.078125,1
10.7265625,1
11.05078125,1
11.328125,129
11.71875,1
12.30078125,129
12.71484375,129
13.3203125,1
13.6484375,1
13.9375,129
14.234375,1
14.9453125,129
15.921875,129
16.4140625,129
17.14453125,129
18.8203125,129
19.16796875,1
20.10546875,129
20.75390625,129
21.0234375,1
22.140625,1
22.640625,1
23.265625,1
23.73046875,129
24.05078125,129
24.32421875,129
24.78125,129
25.42578125,1
25.92578125,1
26.60546875,1
27.3046875,1
27.5625,129
28.484375,129
29.171875,1
29.4375,129
30.6953125,129
31.37109375,1
31.65234375,129
32.3828125,1
33.328125,129
33.703125,129
34.03515625,129
34.90625,129
36.0703125,129
37.18359375,129
38.13671875,1
39.49609375,129
40.0703125,129
40.8203125,1
41.19140625,129
42.26953125,1
42.62109375,129
43.13671875,129
43.85546875,1
44.4453125,129
44.76953125,1
46.08984375,1
46.82421875,1
47.53125,1
47.83203125,129
48.5703125,1
49.1015625,129
49.64453125,129
50.66015625,1
50.9375,129
51.33984375,129
51.78125,129
53.08984375,129
54.24609375,129
54.6640625,1
55.2734375,1
55.91015625,1
56.6328125,1
57.1640625,1
57.99609375,1
58.27734375,129
58.66796875,1
59.80078125,1
60.2421875,1
60.73828125,1
61.14453125,1
61.3984375,129
61.890625,1
62.5703125,129
63.58203125,129
64.3984375,1
64.86328125,1
65.3515625,1
66.4296875,129
66.91015625,1
67.55078125,129
68.37890625,129
69.03125,129
69.3515625,129
69.94921875,1
70.25390625,129
71.59765625,129
72.04296875,1
72.4921875,1
72.984375,1
73.41015625,1
73.75,129
74.015625,129
74.484375,1
74.97265625,1
75.58203125,129
76.0546875,1
76.6328125,129
77.1796875,1
77.60546875,1
78.40234375,129
78.80859375,1
79.60546875,129
80.0234375,1
80.6484375,129
81.27734375,129
81.96875,1
82.54296875,1
83.1640625,1
83.83203125,1
84.31640625,129
84.64453125,129
85.48046875,1
86.03515625,1
86.71484375,1
87.28125,1
87.84765625,1
88.4765625,1
89.02734375,1
89.875,1
90.453125,1
91.16015625,1
91.64453125,1
92.58984375,129
93.3984375,129
94.11328125,1
95.26953125,129
95.55859375,129
96.3515625,129
97.39453125,129
97.80078125,129
98.640625,1
99.37890625,1
99.65234375,129
100.0,129
100.5859375,129
100.8828125,129
101.47265625,129
102.390625,1
103.21875,1
104.578125,129
105.12890625,129
106.49609375,129
106.8125,129
107.1171875,129
107.5625,129
107.97265625,129
108.359375,129
108.95703125,1
109.47265625,1
110.08984375,1
111.1953125,129
112.1875,129
112.734375,1
113.34765625,1
113.92578125,1
114.234375,129
114.5703125,1
115.33203125,129
115.6015625,129
116.359375,129
116.6328125,129
117.41796875,1
117.6875,129
118.07421875,129
118.57421875,129
119.125,1
119.6953125,1
120.19140625,1
120.6796875,1
121.203125,1
121.7265625,1
122.28125,1
122.77734375,1
123.375,1
123.83984375,1
124.44921875,1
125.01953125,1
125.703125,1
126.12890625,1
126.62109375,1
127.1953125,1
127.71875,1
128.44921875,129
128.78125,129
129.33984375,1
129.80078125,129
130.3515625,1
130.97265625,1
131.546875,1
132.0390625,1
132.51171875,1
133.23828125,129
133.81640625,1
134.1484375,129
134.875,129
135.2421875,129
135.7578125,1
136.28125,1
136.78515625,1
137.2578125,1
137.7734375,1
138.3359375,1
138.88671875,1
139.37109375,1
139.8828125,1
140.4375,1
140.9609375,1
141.46484375,1
141.96875,1
142.58984375,129
143.02734375,1
143.5703125,1
144.0859375,1
144.609375,1
145.14453125,1
145.6796875,1
146.19140625,1
146.76171875,1
147.3359375,1
147.859375,1
148.61328125,129
148.8671875,129
149.50390625,129
150.06640625,1
150.609375,1
151.171875,1
151.859375,1
152.3359375,1
152.734375,129
153.3125,1
153.8203125,1
154.375,1
154.9375,1
155.4921875,1
156.046875,1
156.5234375,1
157.19140625,1
157.734375,1
158.27734375,1
158.7890625,1
159.3515625,1
159.890625,1
160.5078125,1
161.25,129
161.87109375,1
162.24609375,129
162.5234375,129
162.80859375,129
163.32421875,1
164.58984375,129
165.6015625,129
165.89453125,129
166.32421875,129
166.83203125,1
167.38671875,1
167.6796875,1
168.1640625,129
168.7578125,129
169.30859375,129
169.89453125,1
170.41796875,1
170.81640625,1
171.3515625,1
172.0234375,129
172.42578125,129
172.98828125,1
173.546875,1
174.26171875,1
174.92578125,1
175.36328125,129
175.85546875,1
177.2734375,129
177.5859375,129
177.94140625,129
178.234375,129
178.61328125,1
179.109375,1
179.8359375,1
180.65625,1
181.109375,1
181.8203125,1
182.8046875,129
183.28125,1
184.23828125,129
185.3671875,129
185.67578125,129
186.171875,1
186.68359375,1
187.19921875,1
187.55859375,129
188.2734375,129
188.54296875,129
189.1875,129
189.92578125,129
191.24609375,129
191.82421875,1
192.4609375,129
193.0703125,1
193.6015625,1
194.18359375,1
194.78515625,1
196.13671875,129
196.85546875,129
197.78515625,129
198.47265625,1
199.05078125,1
199.87890625,129
200.54296875,1
201.34765625,129
201.92578125,1
202.53515625,1
203.8671875,129
204.2421875,129
204.6484375,129
205.23046875,1
206.546875,129
207.8984375,1
208.44921875,1
209.0859375,1
209.91015625,129
211.21875,129
211.8359375,1
212.44921875,1
213.3203125,1
214.2265625,1
214.796875,1
215.26953125,129
215.78515625,1
216.3046875,1
216.90234375,1
217.40234375,1
217.7421875,129
218.046875,129
218.59765625,1
219.16015625,1
219.64453125,1
219.9609375,129
220.26171875,129
220.7890625,1
221.26953125,1
221.59765625,129
222.265625,129
222.9609375,129
223.51953125,1
224.171875,1
224.6171875,1
225.2265625,1
225.71484375,1
226.77734375,129
227.2890625,1
227.92578125,129
228.6953125,1
229.01953125,129
229.68359375,1
229.99609375,129
230.48828125,129
230.7734375,129
231.1015625,129
231.4140625,129
231.7421875,1
232.4375,1
232.91015625,1
233.2890625,129
233.76953125,1
234.33203125,1
235.44140625,129
235.9609375,1
236.23046875,129
236.484375,129
236.96484375,1
237.30078125,129
237.55859375,129
238.05078125,1
238.62890625,1
239.32421875,129
239.69921875,129
240.46484375,129
240.75390625,129
241.2890625,1
241.55078125,1
241.9609375,1
242.55078125,1
242.9296875,129
243.68359375,129
244.6484375,129
245.21484375,1
246.04296875,1
246.37890625,1
247.13671875,1
247.54296875,1
247.9296875,1
248.5859375,1
248.86328125,129
249.1640625,129
249.515625,1
250.19140625,129
250.66796875,1
251.2421875,1
251.90234375,1
252.26171875,1
252.984375,1
253.28125,129
253.78125,1
254.125,1
254.7421875,1
255.29296875,1
255.69921875,129
256.30078125,1
256.828125,1
257.125,129
257.4375,129
257.9140625,1
258.63671875,129
258.98828125,1
259.75,1
260.59765625,1
261.02734375,1
261.578125,1
262.078125,1
262.5234375,1
262.8671875,129
263.40625,1
263.92578125,1
264.22265625,129
264.60546875,129
265.0390625,1
265.375,1
265.83203125,1
266.55078125,129
266.95703125,1
267.7734375,129
268.11328125,129
268.6640625,1
269.1796875,1
269.6875,1
270.18359375,1
270.6484375,1
271.16015625,1
271.6484375,1
272.13671875,1
272.62109375,1
273.109375,1
273.7578125,129
274.37109375,129
274.74609375,129
275.0234375,129
275.859375,129
276.328125,1
276.80859375,1
277.34765625,1
277.671875,129
277.9375,129
278.9453125,129
279.53125,1
280.04296875,1
280.59765625,1
281.5859375,129
282.13671875,1
282.65234375,1
283.21875,1
283.7109375,1
284.25390625,1
284.78515625,1
285.8125,129
286.390625,1
286.86328125,1
287.3984375,1
287.89453125,1
288.46484375,1
288.98828125,1
289.50390625,1
290.5390625,129
291.02734375,1
291.59765625,1
292.30859375,129
293.05078125,129
293.48828125,1
294.1171875,129
294.75390625,129
295.6171875,129
296.28125,129
296.83203125,1
297.359375,1
297.84375,1
298.375,1
298.8828125,1
299.484375,1
299.9296875,1
301.0234375,129
302.046875,129
302.4375,129
303.07421875,1
303.5546875,1
303.8671875,129
304.140625,129
304.93359375,129
305.75,129
306.29296875,1
306.71875,1
307.3203125,1
307.80859375,1
308.37109375,1
309.36328125,129
310.48828125,1
311.28125,1
311.76171875,1
312.1015625,129
312.86328125,1
313.23046875,129
314.14453125,1
315.1640625,1
315.5234375,129
315.91796875,129
316.51953125,1
316.890625,1
317.8359375,1
318.42578125,129
318.98046875,129
319.54296875,1
320.16796875,1
320.99609375,129
321.55859375,1
321.82421875,129
322.60546875,129
323.2734375,1
324.1171875,129
324.375,129
325.41015625,129
325.79296875,129
326.85546875,129
327.53125,1
327.9921875,129
328.26171875,1
328.7265625,1
328.98046875,1
329.5234375,129
329.953125,129
330.2890625,129
330.859375,129
331.24609375,1
331.6328125,1
332.0234375,1
332.46484375,1
332.84765625,1
333.28125,1
333.73828125,1
334.3046875,129
335.05859375,129
335.6171875,129
336.33203125,1
336.62890625,129
336.96484375,1
337.5546875,1
338.25390625,1
338.94140625,129
340.2265625,129
340.6796875,1
340.9609375,129
341.90625,129
342.43359375,1
343.0390625,1
343.5859375,1
344.72265625,129
345.46484375,129
346.015625,1
346.57421875,1
347.40234375,129
348.15625,129
348.48828125,129
348.9921875,1
349.5390625,1
350.015625,1
350.29296875,129
350.7734375,1
351.05078125,129
351.5703125,1
352.16015625,1
352.6328125,1
353.23046875,1
353.55078125,129
353.96484375,1
354.2578125,129
354.55078125,129
355.01953125,1
355.90234375,129
356.37109375,1
356.7890625,1
357.10546875,1
357.4296875,129
357.9765625,129
358.76171875,129
359.18359375,1
359.87890625,129
360.328125,1
360.7109375,1
361.33984375,129
361.60546875,129
362.11328125,1
362.59375,1
363.05078125,1
363.5703125,1
363.91015625,129
364.53125,1
365.2734375,1
366.87890625,129
367.47265625,1
368.21875,1
369.08984375,129
369.625,1
370.61328125,129
371.62890625,129
372.48828125,1
372.7734375,129
373.08203125,129
373.51171875,129
374.25,1
374.8515625,129
375.6015625,1
375.98828125,129
376.59375,129
376.90625,129
377.26171875,129
377.92578125,129
378.2109375,129
378.75390625,1
379.66796875,1
380.125,129
380.91796875,1
381.70703125,1
382.02734375,129
382.7578125,1
383.11328125,129
383.97265625,1
384.58203125,1
385.140625,1
385.7265625,1
385.98046875,129
386.26171875,129
387.31640625,129
387.75390625,129
388.58984375,1
389.078125,129
390.12109375,129
390.7890625,1
391.1171875,129
391.80078125,1
392.1328125,1
392.80859375,1
393.13671875,1
393.4765625,1
393.84765625,1
394.1640625,1
395.046875,129
395.90234375,129
396.51953125,1
397.08984375,1
397.4296875,1
397.83984375,1
398.51953125,1
399.1015625,129
399.8671875,1
400.53515625,1
401.0703125,129
401.98828125,1
402.67578125,1
403.296875,1
404.08203125,1
404.74609375,1
405.328125,1
406.03515625,1
406.56640625,129
406.96484375,129
407.42578125,129
407.84765625,129
408.39453125,1
408.765625,129
409.2421875,129
409.82421875,1
410.125,129
410.609375,129
411.046875,1
411.51953125,1
412.46484375,129
412.9921875,1
413.49609375,1
414.0234375,1
414.51953125,1
415.0390625,1
415.55078125,1
416.05859375,1
416.5546875,1
417.078125,1
418.01171875,129
418.4375,1
419.39453125,129
419.859375,1
420.3359375,1
420.74609375,129
421.27734375,1
421.8359375,1
422.47265625,129
422.97265625,1
423.41015625,1
423.87109375,1
424.39453125,1
424.84765625,1
425.34765625,1
425.8125,1
426.3046875,1
426.8671875,1
427.41015625,1
427.97265625,1
428.3515625,129
428.79296875,1
429.30859375,1
429.7421875,1
430.2265625,1
430.75,1
431.17578125,1
431.66015625,1
432.16796875,1
432.65234375,1
433.078125,1
433.6171875,1
434.14453125,1
434.65234375,1
435.1953125,1
435.75,1
436.40625,129
437.0703125,129
437.78125,129
438.80859375,129
439.2578125,1
439.9765625,129
440.44921875,1
441.12890625,129
441.58203125,1
442.18359375,1
442.875,1
443.1796875,129
443.6796875,129
443.93359375,129
444.44140625,129
445.44140625,129
446.140625,1
446.5703125,129
447.1953125,1
447.62109375,1
448.6953125,129
449.16796875,1
449.80078125,1
450.28125,1
450.5546875,129
451.1953125,1
451.6796875,1
452.4375,129
453.25390625,1
454.35546875,129
454.90625,1
455.6484375,1
455.9921875,129
456.37890625,129
456.91015625,1
457.30859375,129
457.86328125,1
458.2890625,1
458.61328125,129
458.91015625,129
459.203125,129
459.890625,1
460.1875,1
460.515625,1
461.26171875,129
461.5546875,1
462.3359375,129
462.67578125,1
462.96875,1
463.40234375,129
463.8359375,129
464.4375,129
464.98046875,129
465.71484375,129
466.2421875,129
467.015625,1
467.5703125,129
468.07421875,129
468.75,1
469.1484375,129
469.515625,129
470.24609375,1
471.5703125,129
472.50390625,1
473.109375,1
473.49609375,129
474.08984375,1
474.6796875,1
475.19140625,1
475.88671875,1
476.42578125,1
476.96484375,1
477.23828125,129
477.96875,129
478.4140625,129
479.125,1
479.39453125,129
479.703125,129
480.125,129
480.94921875,129
481.56640625,1
482.15625,1
482.6171875,129
482.875,129
483.3671875,1
483.96484375,1
484.453125,1
484.90234375,1
485.15625,129
485.57421875,1
486.6875,129
487.16796875,1
487.765625,129
488.05078125,129
488.47265625,1
488.9375,1
489.53515625,129
490.078125,129
490.578125,1
491.13671875,1
491.91796875,129
492.515625,1
493.05078125,1
493.6796875,1
494.1484375,129
494.765625,1
495.328125,1
495.875,1
496.87109375,129
497.38671875,1
498.03125,1
498.578125,1
499.24609375,1
499.765625,1
500.33984375,1
501.25,129
501.8984375,1
502.453125,1
503.05859375,1
503.44921875,129
504.5234375,129
505.16015625,1
505.765625,1
506.26171875,1
506.8359375,1
507.48046875,1
507.9140625,129
508.328125,129
508.90625,1
510.09765625,129
510.55859375,129
511.42578125,129
511.91015625,1
512.74609375,129
513.2109375,1
514.30078125,129
514.83984375,1
515.546875,1
516.03125,1
516.3671875,129
516.83984375,1
517.44140625,129
518.26953125,129
518.5625,129
519.19140625,129
520.265625,129
521.29296875,1
521.7265625,1
522.8125,1
524.375,129
524.875,129
525.35546875,1
525.87890625,1
526.5,129
526.859375,129
527.5234375,129
528.09375,1
528.89453125,1
529.42578125,1
529.74609375,129
530.16796875,1
530.46875,129
530.83203125,129
531.328125,1
531.6015625,129
531.98828125,129
532.39453125,129
533.328125,129
534.0546875,129
535.1171875,129
535.61328125,1
536.56640625,129
536.828125,129
537.69921875,1
538.38671875,1
538.984375,1
539.97265625,1
540.390625,129
540.703125,129
541.60546875,1
541.98046875,129
542.6953125,129
543.0703125,129
543.76953125,129
544.14453125,129
544.40234375,129
544.96484375,129
545.2421875,129
545.62890625,1
546.12890625,129
546.75,129
547.3984375,1
547.953125,1
548.52734375,1
548.85546875,1
549.625,1
549.9296875,129
550.64453125,1
551.27734375,1
552.21484375,129
552.53515625,129
552.8203125,129
553.26953125,129
553.796875,129
554.359375,1
554.9296875,1
555.45703125,1
555.7265625,129
556.0,129
556.49609375,1
557.02734375,1
557.61328125,1
558.16015625,1
558.734375,1
559.22265625,1
559.73828125,1
560.26953125,1
560.7734375,1
561.3046875,1
561.8359375,1
562.359375,1
562.87109375,1
563.40234375,1
563.9609375,1
564.5,1
565.06640625,1
565.8046875,129
566.109375,129
566.703125,1
567.73046875,129
568.06640625,129
568.40234375,129
568.98046875,1
569.50390625,1
569.86328125,129
570.15234375,129
570.64453125,1
571.109375,129
572.2109375,129
572.76953125,1
573.2578125,1
574.07421875,129
574.75,1
575.37109375,1
575.85546875,1
576.69140625,129
577.59375,129
578.05078125,1
578.6015625,1
579.15625,1
579.71484375,1
580.43359375,129
580.83203125,129
581.35546875,1
581.83203125,1
582.27734375,1
582.578125,129
583.21484375,1
583.99609375,1
584.4140625,1
585.11328125,1
585.67578125,1
586.16015625,1
586.75,1
587.2734375,1
587.98828125,129
588.359375,129
589.05859375,1
589.421875,129
590.26953125,1
590.5703125,129
591.07421875,129
591.6171875,1
592.37890625,1
593.2890625,129
593.80078125,1
594.66796875,129
594.921875,129
595.828125,1
596.234375,1
596.73828125,1
597.109375,1
597.41796875,129
598.1328125,1
598.7734375,1
599.26953125,1
599.61328125,129
600.0,1
601.015625,1
601.57421875,129
601.8515625,129
602.109375,129
602.609375,1
602.92578125,129
603.6796875,129
604.3046875,1
605.4140625,129
605.9921875,1
607.0703125,129
607.66796875,1
608.69921875,1
609.09765625,129
609.4140625,129
610.20703125,1
610.83203125,1
611.10546875,129
612.2421875,1
612.57421875,129
613.62890625,1
614.01171875,129
614.5546875,129
615.09765625,129
615.53125,129
615.9609375,129
616.30078125,129
616.6796875,1
