time [s],inspiration [NA](/api/datatype/34/)
3.171875,21347
5.515625,21333
8.265625,21334
11.125,21329
13.7109375,21319
16.5390625,21320
19.390625,21319
22.0390625,21319
24.671875,21329
27.09375,21325
29.4765625,21323
31.7890625,21331
34.125,21320
36.65625,21322
39.1328125,21322
41.6796875,21321
43.75,21328
45.8046875,21299
49.875,21317
52.84375,21318
55.65625,21319
58.484375,21313
61.1171875,21310
63.859375,21311
67.421875,21305
70.1640625,21310
72.765625,21309
75.3359375,21307
77.8984375,21306
79.5078125,21282
81.2109375,21314
83.2890625,21289
85.546875,21271
88.0859375,21265
90.7734375,21305
93.0703125,21309
95.6484375,21289
98.21875,21280
100.390625,21275
103.453125,21298
105.5859375,21323
107.0703125,21329
110.84375,21319
112.9609375,21361
115.0703125,21321
117.9140625,21347
120.671875,21338
122.3046875,21263
125.1484375,21300
128.390625,21233
129.8203125,21298
133.28125,21231
141.9609375,21255
145.9765625,21212
147.8125,21205
149.6953125,21208
151.75,21205
154.65625,21276
157.8828125,21347
160.3125,21334
162.5625,21337
165.0546875,21342
167.71875,21337
170.1796875,21342
172.5390625,21351
174.703125,21338
176.953125,21345
179.0546875,21348
181.234375,21348
183.7890625,21361
185.8203125,21354
188.0859375,21337
189.6875,21347
192.171875,21355
196.1328125,21372
197.6953125,21379
199.7109375,21382
201.8984375,21385
204.265625,21373
206.4453125,21375
208.3671875,21375
210.484375,21374
214.1484375,21402
215.984375,21379
217.703125,21391
224.1640625,21380
226.8515625,21393
228.3203125,21395
229.875,21363
234.0078125,21384
237.4921875,21391
239.96875,21322
242.7734375,21328
244.796875,21332
247.703125,21313
249.734375,21348
253.2890625,21381
255.40625,21371
256.9609375,21357
259.9765625,21386
262.921875,21395
265.5078125,21387
268.015625,21371
270.5078125,21375
273.5546875,21404
276.5625,21390
279.515625,21393
283.5859375,21376
286.640625,21371
289.515625,21376
292.2578125,21381
294.8046875,21379
297.6640625,21383
299.8515625,21362
302.3515625,21384
304.8203125,21379
307.328125,21371
310.2890625,21393
312.796875,21388
315.625,21387
318.2421875,21398
320.78125,21388
323.015625,21374
325.546875,21371
328.1640625,21376
331.6015625,21397
334.625,21401
337.1171875,21376
339.6171875,21400
342.203125,21395
344.734375,21400
347.390625,21440
349.9140625,21365
351.5625,21332
354.171875,21356
355.6015625,21374
358.359375,21381
361.0859375,21396
363.78125,21396
366.2421875,21370
368.2734375,21356
372.3046875,21345
373.9921875,21358
376.5,21347
378.7109375,21374
380.6015625,21380
383.25,21404
385.359375,21397
387.5703125,21396
390.28125,21417
393.1015625,21408
395.8046875,21399
398.078125,21378
400.515625,21374
402.90625,21371
405.3984375,21371
407.515625,21365
410.484375,21383
413.1328125,21391
417.8984375,21373
422.421875,21379
424.8125,21359
427.453125,21332
429.7578125,21389
432.03125,21366
433.96875,21354
436.171875,21387
438.5859375,21399
440.7578125,21369
442.6953125,21385
444.8828125,21389
447.390625,21378
449.6875,21379
451.6875,21383
453.5625,21381
455.3984375,21382
457.5078125,21348
459.5859375,21354
461.5390625,21373
463.984375,21372
466.4609375,21371
469.203125,21385
