time [s],step [Step](/api/datatype/52/)
2.765625,1
3.15625,2
4.15625,3
4.734375,4
5.03125,5
5.53125,6
8.15625,7
34.0,8
54.71875,9
55.9375,10
56.421875,11
59.84375,12
88.984375,13
102.171875,14
105.3125,15
108.984375,16
118.609375,17
119.140625,18
119.703125,19
144.140625,20
157.796875,21
158.21875,22
158.875,23
159.859375,24
188.015625,25
192.8125,26
221.453125,27
222.671875,28
235.015625,29
300.890625,30
302.046875,31
302.546875,32
303.125,33
304.25,34
305.40625,35
306.5,36
307.53125,37
308.625,38
309.75,39
310.828125,40
311.3125,41
311.921875,42
312.359375,43
312.9375,44
313.390625,45
314.03125,46
314.53125,47
315.09375,48
325.4375,49
326.375,50
336.3125,51
336.78125,52
337.3125,53
337.734375,54
338.25,55
338.65625,56
338.96875,57
339.375,58
339.796875,59
340.296875,60
341.296875,61
342.34375,62
342.953125,63
343.4375,64
343.953125,65
345.078125,66
374.9375,67
376.15625,68
376.671875,69
377.25,70
378.5,71
379.640625,72
380.171875,73
380.796875,74
381.3125,75
381.875,76
382.359375,77
382.953125,78
384.046875,79
385.1875,80
387.5,81
387.96875,82
388.515625,83
389.0625,84
389.609375,85
390.65625,86
391.75,87
392.28125,88
392.828125,89
393.3125,90
393.875,91
394.4375,92
394.9375,93
395.453125,94
395.984375,95
396.5,96
397.03125,97
397.5625,98
398.078125,99
398.609375,100
399.140625,101
399.625,102
400.140625,103
400.65625,104
401.1875,105
401.71875,106
402.25,107
402.75,108
403.3125,109
403.8125,110
404.34375,111
404.8125,112
405.359375,113
405.859375,114
406.390625,115
406.84375,116
407.34375,117
407.859375,118
408.296875,119
408.75,120
409.1875,121
409.640625,122
410.203125,123
410.671875,124
411.21875,125
411.71875,126
412.21875,127
412.6875,128
413.1875,129
413.703125,130
414.203125,131
414.703125,132
415.265625,133
415.71875,134
416.25,135
416.78125,136
417.3125,137
417.859375,138
418.390625,139
418.921875,140
419.421875,141
419.953125,142
420.46875,143
420.921875,144
421.4375,145
421.953125,146
422.46875,147
422.9375,148
423.46875,149
423.9375,150
424.5,151
424.953125,152
425.515625,153
425.953125,154
426.5,155
427.0,156
427.546875,157
428.03125,158
428.546875,159
429.015625,160
429.5625,161
430.078125,162
430.609375,163
431.09375,164
431.625,165
432.09375,166
432.625,167
433.09375,168
433.625,169
434.125,170
434.65625,171
435.15625,172
435.6875,173
436.140625,174
436.703125,175
437.203125,176
437.734375,177
438.234375,178
438.75,179
439.25,180
439.78125,181
440.296875,182
440.78125,183
441.25,184
441.796875,185
442.3125,186
442.796875,187
443.265625,188
443.796875,189
444.34375,190
444.828125,191
445.359375,192
445.875,193
446.3125,194
446.84375,195
447.375,196
447.859375,197
448.328125,198
448.875,199
449.375,200
449.90625,201
450.4375,202
450.953125,203
451.46875,204
451.96875,205
452.484375,206
453.0,207
453.53125,208
454.046875,209
454.5625,210
455.0625,211
455.53125,212
456.078125,213
456.5625,214
457.09375,215
457.578125,216
458.109375,217
458.59375,218
459.140625,219
459.609375,220
460.171875,221
460.6875,222
461.234375,223
462.3125,224
463.390625,225
464.453125,226
493.421875,227
493.984375,228
494.515625,229
495.015625,230
495.546875,231
496.015625,232
496.59375,233
496.96875,234
497.609375,235
498.140625,236
498.671875,237
499.1875,238
499.65625,239
500.125,240
500.6875,241
501.15625,242
501.71875,243
502.171875,244
502.734375,245
503.234375,246
