time [s],expiration [NA](/api/datatype/35/)
750.625,22866
752.078125,22871
753.390625,22864
755.0546875,22865
756.6953125,22867
758.328125,22861
759.8515625,22858
761.34375,22876
763.1015625,22874
764.828125,22870
766.515625,22876
768.015625,22858
769.984375,22830
771.828125,22870
773.7109375,22864
775.328125,22846
776.9765625,22851
779.0625,22850
780.90625,22850
782.8515625,22844
784.453125,22870
786.15625,22857
787.59375,22863
789.7109375,22861
791.359375,22864
793.765625,22837
795.609375,22843
797.8515625,22879
799.296875,22853
801.171875,22864
802.6328125,22866
804.6015625,22854
806.03125,22840
810.6171875,22833
812.765625,22874
814.859375,22832
816.9765625,22827
822.171875,22829
824.2109375,22802
827.0390625,22804
830.8046875,22847
831.921875,22840
837.15625,22835
840.2265625,22825
844.625,22834
848.59375,22852
851.0625,22816
854.734375,22830
858.9765625,22820
866.4921875,22814
868.46875,22862
870.40625,22859
873.421875,22852
874.9921875,22862
877.5546875,22873
879.15625,22862
880.5546875,22867
882.2421875,22868
883.703125,22849
885.4609375,22862
887.7890625,22886
889.828125,22871
891.453125,22866
893.3828125,22876
895.3984375,22865
897.328125,22882
899.0390625,22862
900.6171875,22863
902.5859375,22855
904.203125,22866
906.2265625,22865
909.3203125,22855
911.375,22861
912.5703125,22864
913.5390625,22868
915.046875,22829
916.734375,22872
918.90625,22877
919.859375,22879
921.0,22882
921.8828125,22899
922.9140625,22882
924.96875,22880
926.09375,22862
927.0390625,22880
928.0703125,22855
929.125,22854
931.3359375,22846
932.296875,22842
933.7734375,22861
935.4609375,22832
938.5546875,22854
943.859375,22851
944.984375,22849
945.953125,22840
950.125,22832
951.1640625,22836
953.171875,22839
954.3046875,22806
955.71875,22848
957.28125,22863
959.515625,22856
961.53125,22887
962.6796875,22869
964.203125,22869
965.65625,22854
967.71875,22869
969.390625,22868
971.1875,22860
972.890625,22860
975.0078125,22862
977.0625,22866
979.0703125,22889
980.5,22873
982.09375,22881
983.953125,22865
987.5859375,22868
989.3125,22846
990.8671875,22869
994.0703125,22880
995.4765625,22861
996.796875,22847
998.796875,22836
1001.2734375,22868
1005.0859375,22860
1009.109375,22896
1013.5,22879
1014.84375,22863
1016.8125,22853
1018.7734375,22869
1019.953125,22866
1021.328125,22884
1023.3359375,22866
1025.1171875,22884
1027.3515625,22880
1029.0625,22852
1030.9609375,22890
1032.125,22858
1034.0703125,22870
1037.2421875,22893
1040.3515625,22882
1042.296875,22885
1044.1328125,22882
1045.875,22883
1047.5390625,22860
1049.5,22872
1050.625,22888
1051.65625,22881
1053.5390625,22889
1054.703125,22874
1056.203125,22883
1057.9296875,22877
1059.9375,22884
1061.0625,22865
1062.1171875,22900
1063.28125,22864
1065.3125,22863
1067.9921875,22871
1069.7421875,22873
1071.5859375,22864
1073.640625,22874
1075.875,22887
1077.1484375,22879
1078.2265625,22884
1079.90625,22875
1081.515625,22889
1082.9921875,22884
1085.265625,22881
1087.5078125,22867
1089.515625,22887
1091.3203125,22876
1092.90625,22882
1094.3671875,22891
1095.78125,22891
1097.6640625,22885
1099.578125,22889
1100.9375,22884
1102.5078125,22878
1106.4375,22868
1107.796875,22895
1109.390625,22884
1111.0234375,22886
1113.0390625,22889
1114.6171875,22892
1116.15625,22889
1117.5546875,22893
1119.1875,22895
1120.625,22901
1122.1796875,22892
1124.296875,22896
1126.0234375,22888
1127.515625,22882
1129.328125,22896
1131.171875,22891
1133.03125,22891
1135.03125,22889
1137.1875,22898
1138.4453125,22892
1140.578125,22878
1142.71875,22882
1144.59375,22887
1145.9921875,22883
1148.203125,22889
1149.8046875,22876
1151.375,22883
1153.15625,22875
1155.0859375,22883
1157.1015625,22885
1159.1171875,22872
1160.859375,22877
1162.703125,22883
1164.6875,22877
1167.9765625,22859
1169.0390625,22878
1170.6015625,22892
1172.4296875,22900
1174.171875,22898
1176.671875,22897
1178.171875,22904
1179.953125,22909
1183.1171875,22893
1185.2578125,22887
1187.5703125,22896
1189.59375,22898
1191.6484375,22897
1193.84375,22891
1196.1328125,22895
1198.859375,22895
1200.984375,22887
1203.3515625,22883
1205.25,22893
1206.9140625,22905
1208.203125,22894
1209.578125,22888
1211.7109375,22870
1213.8671875,22894
1214.890625,22901
1215.9609375,22894
1216.921875,22897
1217.9609375,22892
1218.8671875,22892
1220.0546875,22884
1220.9765625,22889
1222.09375,22873
1223.015625,22888
1224.1875,22871
1225.0546875,22891
1226.125,22878
1227.890625,22877
1229.7265625,22877
1231.6953125,22886
1233.3046875,22888
1236.6875,22904
1238.9296875,22900
1242.1171875,22887
1244.09375,22884
1246.1328125,22883
1247.9453125,22870
1249.9375,22874
1251.765625,22880
1253.3671875,22882
1256.3203125,22874
1257.9609375,22878
1259.890625,22878
1262.0234375,22873
1264.1953125,22864
1266.2421875,22874
1268.78125,22880
1270.25,22878
1275.0390625,22887
1277.546875,22877
1279.3984375,22875
1281.2265625,22869
1282.984375,22889
1284.6171875,22886
1285.953125,22890
1288.2578125,22885
1290.953125,22880
1292.8203125,22883
1294.6796875,22879
1296.1953125,22887
1297.9453125,22880
1299.3125,22872
1300.8671875,22859
1302.34375,22876
1303.875,22868
1305.6015625,22867
1307.625,22874
1309.171875,22881
1310.875,22871
1312.7890625,22877
1314.34375,22883
1316.0,22877
1318.0859375,22880
1319.8046875,22873
1321.4375,22878
1323.2578125,22869
1324.9453125,22880
1326.3203125,22876
1328.28125,22887
1329.484375,22887
1331.375,22872
1333.25,22885
1334.5625,22875
1336.53125,22886
1338.203125,22883
1339.6171875,22874
1341.6640625,22896
1342.8046875,22870
1344.9296875,22877
1346.875,22879
1348.6953125,22877
1350.609375,22872
1352.1875,22880
1354.1171875,22869
1355.9453125,22875
1357.8359375,22877
1359.7578125,22884
1362.203125,22868
1364.0,22872
1365.6015625,22870
1367.34375,22873
1368.9765625,22870
1370.6953125,22867
1372.4921875,22874
1374.15625,22880
1376.3671875,22889
1378.1328125,22877
1380.078125,22875
1381.8125,22879
1383.96875,22884
1385.7265625,22881
1387.4765625,22874
1389.359375,22871
1390.8828125,22877
1391.9375,22870
1393.90625,22859
1395.625,22874
1397.171875,22878
1398.75,22872
1400.3046875,22876
1401.9140625,22875
1403.4609375,22880
1405.0859375,22881
1406.71875,22874
1408.1953125,22865
1410.2578125,22874
1412.203125,22870
1413.421875,22868
1414.9453125,22871
1416.3125,22874
1418.53125,22875
1419.6953125,22874
1420.921875,22866
1422.09375,22860
1423.2421875,22858
1424.3671875,22859
1425.046875,22847
1427.203125,22844
