time [s],device_position [NA](/api/datatype/269/)
0.0,nan
1.0,4.0
12.0,2.0
843.0,6.0
855.0,2.0
2100.0,4.0
2103.0,2.0
2105.0,6.0
2109.0,2.0
2112.0,3.0
2184.875,nan
