time [s],RR_interval [s/256](/api/datatype/18/)
5.1484375,0
6.44140625,331
7.58984375,294
8.46875,225
9.39453125,237
9.74609375,90
11.21484375,376
11.546875,85
12.4609375,234
13.171875,182
13.875,180
14.31640625,113
15.7578125,369
16.7421875,252
17.00390625,67
17.97265625,248
18.296875,83
19.28515625,253
19.57421875,74
20.171875,153
20.6796875,130
22.06640625,355
22.9140625,217
24.1953125,328
24.61328125,107
24.92578125,80
25.71484375,202
25.9921875,71
26.578125,150
27.1484375,146
27.984375,214
28.8828125,230
29.30078125,107
30.16796875,222
31.203125,265
31.83984375,163
32.109375,69
32.75390625,165
33.546875,203
34.2734375,186
34.9296875,168
35.66796875,189
36.28125,157
36.83203125,141
37.59765625,196
38.265625,171
38.57421875,79
38.96484375,100
39.484375,133
40.19921875,183
40.8046875,155
42.03125,314
42.3515625,82
42.796875,114
43.60546875,207
44.15234375,140
44.8125,169
45.94921875,291
46.671875,185
47.28515625,157
47.81640625,136
48.47265625,168
49.0703125,153
49.68359375,157
50.24609375,144
50.8671875,159
51.46484375,153
52.0390625,147
52.62890625,151
53.17578125,140
53.70703125,136
54.33203125,160
54.87890625,140
55.44140625,144
56.0078125,145
56.5703125,144
57.13671875,145
57.6484375,131
58.23046875,149
58.7734375,139
59.25390625,123
59.8515625,153
60.37890625,135
60.97265625,152
61.5625,151
62.11328125,141
62.6640625,141
63.22265625,143
63.79296875,146
64.33984375,140
64.8984375,143
65.43359375,137
65.99609375,144
66.546875,141
67.0859375,138
67.64453125,143
68.21875,147
68.87890625,169
69.33203125,116
69.82421875,126
70.23046875,104
70.7578125,135
71.3359375,148
71.8828125,140
72.96484375,277
73.51953125,142
74.06640625,140
74.60546875,138
75.13671875,136
75.67578125,138
76.203125,135
76.73828125,137
77.29296875,142
77.84765625,142
78.3828125,137
78.921875,138
79.52734375,155
80.09765625,146
80.59765625,128
81.16015625,144
81.703125,139
82.65625,244
83.0703125,106
83.55078125,123
84.1640625,157
84.7578125,152
85.23046875,121
85.8125,149
86.3671875,142
86.91796875,141
87.44140625,134
87.9921875,141
88.53515625,139
89.06640625,136
89.59765625,136
90.109375,131
90.6796875,146
91.2265625,140
91.7890625,144
92.33984375,141
92.890625,141
93.4375,140
93.984375,140
94.51171875,135
95.078125,145
95.59375,132
96.13671875,139
96.66796875,136
97.21875,141
97.7890625,146
98.296875,130
98.84765625,141
99.38671875,138
99.90234375,132
100.48828125,150
101.03125,139
101.55859375,135
102.11328125,142
102.6328125,133
103.140625,130
103.71484375,147
104.234375,133
104.79296875,143
105.3515625,143
105.8828125,136
106.453125,146
107.0078125,142
107.5,126
108.0703125,146
108.625,142
109.16796875,139
109.78515625,158
110.24609375,118
110.88671875,164
111.3359375,115
112.125,202
112.4921875,94
113.03515625,139
113.53125,127
114.328125,204
114.66015625,85
115.203125,139
115.7890625,150
116.35546875,145
116.90234375,140
117.453125,141
117.99609375,139
118.54296875,140
119.09765625,142
119.65625,143
120.18359375,135
120.73828125,142
121.28125,139
121.828125,140
122.38671875,143
122.91796875,136
123.48828125,146
124.06640625,148
124.60546875,138
125.17578125,146
125.7109375,137
126.28515625,147
126.81640625,136
127.37109375,142
127.9140625,139
128.6015625,176
129.33203125,187
130.07421875,190
130.5859375,131
131.55078125,247
131.85546875,78
132.9140625,271
133.6953125,200
134.21875,134
134.72265625,129
135.63671875,234
136.24609375,156
137.03515625,202
137.61328125,148
138.06640625,116
138.64453125,148
139.21875,147
139.92578125,181
140.4609375,137
141.6171875,296
143.09765625,379
143.98828125,228
144.265625,71
145.2734375,258
146.12890625,219
146.74609375,158
147.37890625,162
148.04296875,170
148.61328125,146
149.1953125,149
149.7578125,144
150.328125,146
150.85546875,135
151.4765625,159
152.046875,146
152.59765625,141
153.15625,143
153.7421875,150
154.296875,142
154.87109375,147
155.42578125,142
156.02734375,154
156.57421875,140
157.14453125,146
157.69921875,142
158.2734375,147
158.87109375,153
159.47265625,154
160.03515625,144
160.63671875,154
161.234375,153
161.8046875,146
162.375,146
162.94140625,145
163.5078125,145
164.09765625,151
164.6796875,149
165.2578125,148
165.81640625,143
166.37109375,142
166.9453125,147
167.515625,146
168.07421875,143
168.6328125,143
169.19140625,143
