time [s],step [Step](/api/datatype/52/)
11.140625,1
11.9375,2
12.578125,3
13.125,4
26.015625,5
26.8125,6
27.46875,7
28.21875,8
30.34375,9
32.15625,10
34.5625,11
36.03125,12
43.046875,13
50.640625,14
51.234375,15
51.671875,16
52.328125,17
52.953125,18
53.5,19
54.109375,20
54.609375,21
55.234375,22
55.78125,23
56.3125,24
56.84375,25
57.328125,26
57.953125,27
58.53125,28
59.0625,29
59.640625,30
60.15625,31
60.75,32
61.296875,33
61.890625,34
62.375,35
62.859375,36
63.5,37
64.109375,38
64.609375,39
65.21875,40
65.765625,41
66.34375,42
66.859375,43
67.453125,44
67.953125,45
68.546875,46
69.1875,47
69.671875,48
70.15625,49
70.546875,50
71.078125,51
71.640625,52
72.140625,53
72.75,54
73.25,55
73.8125,56
74.296875,57
74.90625,58
75.421875,59
75.984375,60
76.484375,61
77.0625,62
77.578125,63
78.15625,64
78.671875,65
79.265625,66
79.8125,67
80.390625,68
80.859375,69
81.484375,70
82.015625,71
82.546875,72
83.328125,73
83.875,74
84.4375,75
85.046875,76
85.546875,77
86.109375,78
86.625,79
87.21875,80
87.71875,81
88.25,82
88.8125,83
89.359375,84
89.890625,85
90.4375,86
90.96875,87
91.53125,88
92.078125,89
92.515625,90
93.15625,91
93.71875,92
94.25,93
94.8125,94
95.359375,95
95.90625,96
96.40625,97
96.96875,98
97.53125,99
98.0625,100
98.546875,101
99.140625,102
99.6875,103
100.25,104
100.734375,105
101.34375,106
101.828125,107
102.375,108
102.90625,109
103.484375,110
104.0,111
104.546875,112
105.0625,113
105.640625,114
106.15625,115
106.734375,116
107.28125,117
107.84375,118
108.34375,119
108.921875,120
109.4375,121
110.015625,122
110.5625,123
111.125,124
111.65625,125
112.234375,126
112.75,127
113.328125,128
113.859375,129
114.390625,130
114.9375,131
115.515625,132
116.0625,133
116.671875,134
117.171875,135
117.78125,136
118.265625,137
118.890625,138
119.375,139
119.953125,140
120.453125,141
121.015625,142
121.546875,143
122.125,144
122.65625,145
123.25,146
123.796875,147
124.390625,148
124.90625,149
125.484375,150
126.015625,151
126.578125,152
127.078125,153
127.71875,154
128.265625,155
134.5,156
141.890625,157
146.96875,158
147.703125,159
148.21875,160
148.890625,161
149.390625,162
150.046875,163
150.515625,164
151.15625,165
151.671875,166
152.328125,167
152.90625,168
153.453125,169
153.9375,170
154.609375,171
155.203125,172
155.75,173
156.359375,174
156.90625,175
157.515625,176
158.015625,177
158.671875,178
159.1875,179
159.828125,180
160.3125,181
160.9375,182
161.53125,183
162.140625,184
162.671875,185
163.34375,186
163.859375,187
164.46875,188
165.015625,189
165.609375,190
166.125,191
166.734375,192
167.28125,193
167.875,194
168.375,195
169.0,196
169.53125,197
170.078125,198
170.609375,199
171.25,200
171.78125,201
172.390625,202
172.890625,203
173.390625,204
174.03125,205
174.546875,206
175.15625,207
175.78125,208
176.265625,209
176.875,210
177.4375,211
178.015625,212
178.546875,213
179.140625,214
179.703125,215
180.28125,216
180.828125,217
181.453125,218
181.953125,219
182.53125,220
183.0625,221
183.671875,222
184.21875,223
184.828125,224
185.359375,225
185.96875,226
186.515625,227
187.078125,228
187.625,229
188.21875,230
188.78125,231
189.40625,232
189.875,233
190.515625,234
191.0,235
191.625,236
192.125,237
192.703125,238
193.265625,239
193.90625,240
194.40625,241
195.015625,242
195.546875,243
196.171875,244
196.6875,245
197.25,246
197.765625,247
198.359375,248
198.90625,249
199.46875,250
200.03125,251
200.609375,252
201.15625,253
201.71875,254
202.28125,255
202.875,256
203.375,257
203.984375,258
204.546875,259
205.140625,260
205.671875,261
206.265625,262
206.8125,263
207.4375,264
207.953125,265
208.5625,266
209.09375,267
209.671875,268
210.203125,269
210.765625,270
211.359375,271
211.984375,272
212.5,273
213.09375,274
213.640625,275
214.28125,276
214.828125,277
215.359375,278
217.328125,279
217.8125,280
218.453125,281
219.0625,282
219.578125,283
220.265625,284
220.796875,285
221.359375,286
221.875,287
222.46875,288
223.03125,289
223.59375,290
224.125,291
224.703125,292
225.25,293
225.703125,294
226.375,295
226.953125,296
227.5,297
227.96875,298
228.625,299
229.21875,300
229.734375,301
230.25,302
230.859375,303
231.34375,304
231.984375,305
232.578125,306
233.125,307
233.78125,308
234.328125,309
234.921875,310
235.453125,311
236.0625,312
236.59375,313
237.0625,314
237.703125,315
238.3125,316
238.765625,317
239.4375,318
240.0,319
240.609375,320
241.1875,321
241.78125,322
242.34375,323
242.9375,324
243.484375,325
244.0625,326
244.59375,327
245.203125,328
245.78125,329
246.359375,330
246.921875,331
247.515625,332
248.015625,333
248.671875,334
249.109375,335
249.796875,336
250.359375,337
250.90625,338
251.453125,339
252.03125,340
252.578125,341
253.015625,342
253.71875,343
254.328125,344
254.828125,345
255.453125,346
255.984375,347
256.453125,348
257.140625,349
257.765625,350
258.296875,351
258.90625,352
259.421875,353
260.0,354
260.578125,355
261.140625,356
261.671875,357
262.296875,358
262.84375,359
263.453125,360
263.984375,361
264.546875,362
265.09375,363
265.6875,364
266.234375,365
266.8125,366
267.375,367
268.0,368
268.515625,369
269.09375,370
269.640625,371
270.265625,372
270.78125,373
271.375,374
271.9375,375
272.5625,376
273.03125,377
273.6875,378
274.25,379
274.859375,380
275.890625,381
277.203125,382
277.90625,383
278.59375,384
279.40625,385
280.078125,386
280.640625,387
281.234375,388
281.9375,389
282.515625,390
283.109375,391
283.5625,392
284.234375,393
284.890625,394
285.40625,395
286.03125,396
286.59375,397
287.265625,398
287.8125,399
288.28125,400
288.984375,401
307.234375,402
308.65625,403
309.171875,404
309.765625,405
310.28125,406
310.703125,407
311.328125,408
311.90625,409
312.46875,410
313.015625,411
313.5625,412
314.15625,413
314.65625,414
315.234375,415
315.75,416
316.34375,417
316.859375,418
317.4375,419
317.984375,420
318.59375,421
319.140625,422
319.90625,423
320.640625,424
321.140625,425
321.859375,426
322.359375,427
323.640625,428
324.234375,429
324.65625,430
325.34375,431
326.90625,432
328.84375,433
329.515625,434
330.140625,435
330.734375,436
331.328125,437
331.921875,438
332.375,439
333.015625,440
333.53125,441
334.15625,442
334.734375,443
335.34375,444
335.890625,445
336.5,446
337.015625,447
337.515625,448
338.9375,449
340.09375,450
341.265625,451
341.828125,452
342.421875,453
343.625,454
344.140625,455
344.796875,456
345.96875,457
346.53125,458
347.109375,459
347.609375,460
348.3125,461
349.515625,462
350.546875,463
352.9375,464
353.421875,465
353.8125,466
354.5,467
355.953125,468
371.53125,469
372.234375,470
372.828125,471
374.03125,472
374.75,473
375.234375,474
376.046875,475
376.484375,476
377.75,477
379.015625,478
379.71875,479
380.234375,480
381.515625,481
382.28125,482
382.890625,483
383.546875,484
384.125,485
384.796875,486
385.359375,487
386.078125,488
386.65625,489
387.375,490
387.859375,491
388.546875,492
389.125,493
389.921875,494
390.546875,495
391.109375,496
391.59375,497
392.28125,498
392.90625,499
393.671875,500
394.140625,501
394.828125,502
395.359375,503
396.109375,504
396.578125,505
397.25,506
397.765625,507
398.546875,508
398.953125,509
400.40625,510
400.953125,511
401.484375,512
402.203125,513
402.703125,514
403.421875,515
403.90625,516
404.6875,517
405.140625,518
406.4375,519
407.640625,520
408.375,521
408.875,522
409.65625,523
410.375,524
411.84375,525
412.78125,526
413.34375,527
413.984375,528
414.46875,529
415.015625,530
415.65625,531
416.21875,532
416.65625,533
417.28125,534
417.828125,535
418.453125,536
418.921875,537
419.453125,538
419.96875,539
420.625,540
421.140625,541
422.90625,542
423.421875,543
424.078125,544
424.640625,545
425.171875,546
425.75,547
426.328125,548
426.8125,549
427.421875,550
428.0,551
428.578125,552
429.125,553
429.671875,554
430.25,555
430.71875,556
431.34375,557
432.546875,558
433.171875,559
433.765625,560
434.328125,561
434.890625,562
435.546875,563
436.109375,564
436.734375,565
437.3125,566
437.859375,567
438.4375,568
439.640625,569
440.234375,570
440.8125,571
441.390625,572
442.140625,573
442.796875,574
443.34375,575
443.921875,576
444.515625,577
445.125,578
445.765625,579
446.359375,580
446.828125,581
447.46875,582
448.109375,583
448.625,584
449.140625,585
449.734375,586
453.640625,587
454.125,588
461.046875,589
466.046875,590
466.640625,591
467.109375,592
467.765625,593
468.203125,594
468.90625,595
469.40625,596
470.0625,597
470.734375,598
471.28125,599
471.875,600
472.40625,601
473.03125,602
474.1875,603
474.765625,604
475.203125,605
475.90625,606
476.5,607
477.046875,608
477.6875,609
