time [s],NN_interval [s/256](/api/datatype/318/)
1663.15625,114
1663.6015625,114
1664.03515625,111
1664.484375,115
1664.9296875,114
1665.37109375,113
1665.81640625,114
1666.265625,115
1666.7109375,114
1667.16015625,115
1667.61328125,116
1668.0546875,113
1668.5,114
1668.94921875,115
1669.40234375,116
1669.85546875,116
1670.3125,117
1670.76171875,115
1671.203125,113
1671.66015625,117
1672.11328125,116
1672.5546875,113
1672.99609375,113
1673.44140625,114
1673.890625,115
1674.3359375,114
1674.78125,114
1675.23828125,117
1675.6953125,117
1676.1640625,120
1676.62109375,117
1677.09375,121
1677.5625,120
1678.0390625,122
1678.51171875,121
1678.99609375,124
1679.47265625,122
1679.94921875,122
1680.4296875,123
1680.91796875,125
1681.41015625,126
1681.90625,127
1692.125,119
1692.59765625,121
1693.0625,119
1693.51953125,117
1693.98046875,118
1694.44921875,120
1694.91796875,120
1695.38671875,120
1695.8515625,119
1696.31640625,119
1696.78125,119
1697.2421875,118
1697.70703125,119
1698.16796875,118
1698.640625,121
1699.1015625,118
1699.57421875,121
1700.04296875,120
1700.49609375,116
1700.9609375,119
1701.43359375,121
1701.89453125,118
1702.36328125,120
1702.8125,115
1703.27734375,119
1703.7421875,119
1704.20703125,119
1704.65625,115
1705.12109375,119
1705.58203125,118
1706.046875,119
1706.51171875,119
1706.9765625,119
1707.4375,118
1707.89453125,117
1708.33984375,114
1708.796875,117
1709.24609375,115
1709.703125,117
1710.15234375,115
1710.59765625,114
1711.04296875,114
1711.49609375,116
1711.953125,117
1712.40625,116
1712.85546875,115
1713.31640625,118
1713.77734375,118
1714.234375,117
1714.6953125,118
1715.14453125,115
1715.61328125,120
1716.078125,119
1716.54296875,119
1717.0,117
1717.4609375,118
1717.9140625,116
1718.375,118
1718.8359375,118
1719.27734375,113
1719.72265625,114
1720.171875,115
1720.609375,112
1721.05859375,115
1721.51953125,118
1721.94140625,108
1722.37890625,112
1722.82421875,114
1723.26953125,114
1723.70703125,112
1724.15234375,114
1724.6015625,115
1725.05078125,115
1725.5,115
1725.9453125,114
1726.39453125,115
1726.84375,115
1727.28515625,113
1727.73046875,114
1728.18359375,116
1728.6328125,115
1729.08203125,115
1729.53125,115
1729.96484375,111
1730.40234375,112
1730.84765625,114
1731.2890625,113
1731.734375,114
1732.16015625,109
1732.59375,111
1733.03125,112
1733.46875,112
1733.90625,112
1734.3359375,110
1734.7734375,112
1735.20703125,111
1735.63671875,110
1736.07421875,112
1736.515625,113
1736.953125,112
1737.39453125,113
1737.828125,111
1738.2734375,114
1738.71484375,113
1739.15625,113
1739.6015625,114
1740.0390625,112
1740.484375,114
1740.92578125,113
1741.375,115
1741.81640625,113
1742.265625,115
1742.70703125,113
1743.14453125,112
1743.58203125,112
1744.03125,115
1744.46875,112
1744.91015625,113
1745.359375,115
1745.8125,116
1746.25390625,113
1746.703125,115
1747.15625,116
1747.60546875,115
1748.0546875,115
1748.5078125,116
1748.9609375,116
1749.41015625,115
1749.86328125,116
1750.3125,115
1750.765625,116
1751.21484375,115
1751.66796875,116
1752.1171875,115
1752.5703125,116
1753.01953125,115
1753.47265625,116
1753.921875,115
1754.3828125,118
1754.83984375,117
1755.29296875,116
1755.75,117
1756.20703125,117
1756.66015625,116
1757.11328125,116
1757.5625,115
1772.234375,114
1772.67578125,113
1773.12890625,116
1773.56640625,112
1774.0078125,113
1774.44921875,113
1774.89453125,114
1775.33203125,112
1775.7734375,113
1776.21875,114
1776.65625,112
1777.1015625,114
1777.55078125,115
1777.99609375,114
1778.44140625,114
1778.8984375,117
1779.35546875,117
1779.8125,117
1780.26953125,117
1780.73828125,120
1781.19921875,118
1781.66015625,118
1782.12890625,120
1782.5859375,117
1783.05859375,121
1783.52734375,120
1838.0078125,115
1838.47265625,119
1838.90625,111
1839.34765625,113
1839.7890625,113
1840.23828125,115
1840.6796875,113
1841.125,114
1841.56640625,113
1842.00390625,112
1842.44140625,112
1842.8828125,113
1843.328125,114
1843.765625,112
1844.2109375,114
1844.65625,114
1845.109375,116
1845.5625,116
1876.015625,114
1876.4609375,114
1876.91015625,115
1877.3671875,117
1877.82421875,117
1878.28125,117
1878.734375,116
1879.1953125,118
1879.6484375,116
1880.11328125,119
1880.5703125,117
1881.0234375,116
1881.48046875,117
1881.9375,117
1882.39453125,117
1882.83984375,114
1883.29296875,116
1883.74609375,116
1884.1875,113
1884.6328125,114
1885.08203125,115
1885.5234375,113
1885.98046875,117
1886.4296875,115
1886.87890625,115
1887.3359375,117
1887.796875,118
1888.25390625,117
1888.71484375,118
1889.17578125,118
1889.64453125,120
1890.12109375,122
1890.58984375,120
1891.0625,121
1891.53515625,121
1892.0078125,121
1892.484375,122
1892.96484375,123
1893.4375,121
1893.9140625,122
1894.390625,122
1894.8671875,122
1895.33984375,121
1895.8125,121
1896.28515625,121
1896.7578125,121
1897.23046875,121
1897.703125,121
1898.16796875,119
1898.640625,121
1899.109375,120
1899.57421875,119
1900.03125,117
1900.48828125,117
1900.94921875,118
1901.40234375,116
1901.859375,117
1902.30859375,115
1902.75390625,114
1903.19921875,114
1903.64453125,114
1904.08984375,114
1904.53515625,114
1904.984375,115
1905.4375,116
1905.89453125,117
1906.3515625,117
1906.8125,118
1907.2890625,122
1907.765625,122
1936.31640625,119
1936.78125,119
1937.24609375,119
1937.70703125,118
1938.1640625,117
1938.62109375,117
1939.078125,117
1939.53515625,117
1939.99609375,118
1940.453125,117
1940.91796875,119
1941.37890625,118
1941.84375,119
1942.30859375,119
1942.77734375,120
1943.24609375,120
1943.71875,121
