time [s],NN_interval [s/256](/api/datatype/318/)
1124.12890625,122
1124.609375,123
1125.1015625,126
1125.60546875,129
1126.12890625,134
1126.6875,143
1127.2421875,142
1127.828125,150
1128.40625,148
1128.984375,148
1129.58203125,153
1130.1640625,149
1130.765625,154
1131.3671875,154
1131.94921875,149
1132.54296875,152
1133.12890625,150
1133.69921875,146
1134.25,141
1134.80859375,143
1135.3671875,143
1135.94140625,147
1136.515625,147
1137.09375,148
1137.67578125,149
1138.26953125,152
1138.8359375,145
1139.390625,142
1139.9375,140
1140.46875,136
1141.0078125,138
1141.5390625,136
1142.05859375,133
1142.58203125,134
1143.1171875,137
1143.671875,142
1144.203125,136
1144.72265625,133
1145.22265625,128
1145.7265625,129
1146.22265625,127
1146.71875,127
1147.2109375,126
1147.6953125,124
1148.1875,126
1148.67578125,125
1149.17578125,128
1149.70703125,136
1150.234375,135
1150.75390625,133
1151.28515625,136
1151.82421875,138
1152.3671875,139
1152.890625,134
1153.4453125,142
1154.0,142
1154.5234375,134
1155.0390625,132
1155.56640625,135
1156.1015625,137
1156.65234375,141
1157.2109375,143
1157.765625,142
1158.3203125,142
1158.890625,146
1159.47265625,149
1160.046875,147
1160.64453125,153
1161.2578125,157
1161.84765625,151
1162.43359375,150
1162.9921875,143
1163.5546875,144
1268.09765625,129
1268.6015625,129
1269.08984375,125
1269.5859375,127
1270.07421875,125
1270.5546875,123
1271.05078125,127
1271.53515625,124
1272.03125,127
1272.51953125,125
1273.015625,127
1273.5,124
1273.9765625,122
1274.46484375,125
1274.94921875,124
1275.43359375,124
1275.92578125,126
1276.421875,127
1276.9296875,130
1277.44140625,131
1277.9609375,133
1278.48828125,135
1279.0078125,133
1279.54296875,137
1280.08203125,138
1280.6015625,133
1281.125,134
1281.67578125,141
1282.1875,131
1282.71875,136
1283.26171875,139
1283.796875,137
1284.33203125,137
1284.86328125,136
1285.390625,135
1285.91796875,135
1286.4375,133
1286.95703125,133
1287.46875,131
1287.9765625,130
1334.296875,114
1334.75390625,117
1335.2109375,117
1335.66796875,117
1336.12109375,116
1336.58203125,118
1337.04296875,118
1337.50390625,118
1337.96875,119
1338.44140625,121
1338.9140625,121
1339.38671875,121
1339.8671875,123
1340.34375,122
1340.81640625,121
1341.28515625,120
1341.7578125,121
1342.22265625,119
1342.68359375,118
1343.15234375,120
1343.61328125,118
1344.07421875,118
1344.5390625,119
1345.0,118
1345.46484375,119
1345.92578125,118
1428.015625,95
1428.390625,96
1428.76171875,95
1429.1328125,95
1429.50390625,95
1429.875,95
1430.25,96
1430.625,96
1430.99609375,95
1431.3671875,95
1431.7421875,96
1432.1171875,96
1432.4921875,96
1432.87109375,97
1433.24609375,96
1433.625,97
1434.00390625,97
1434.3828125,97
1434.76171875,97
1435.14453125,98
1435.52734375,98
1435.90625,97
1436.29296875,99
1436.67578125,98
1437.0625,99
1437.44921875,99
1437.8359375,99
1438.23046875,101
1438.62109375,100
1439.0078125,99
1439.40234375,101
1439.796875,101
1440.19140625,101
1440.5859375,101
1440.984375,102
1441.375,100
1441.7734375,102
1442.17578125,103
1442.57421875,102
1442.97265625,102
1443.37109375,102
1443.76953125,102
1444.171875,103
1444.57421875,103
1444.9765625,103
1445.37109375,101
1445.76953125,102
1446.16796875,102
1446.5625,101
1446.95703125,101
1447.34765625,100
1447.75390625,104
1448.1328125,97
1448.53125,102
1448.93359375,103
1449.3359375,103
1449.73828125,103
1482.3203125,114
1482.76171875,113
1483.203125,113
1483.64453125,113
1484.078125,111
1484.5234375,114
1484.95703125,111
1485.390625,111
1485.82421875,111
1486.25390625,110
1486.68359375,110
1487.10546875,108
1487.51953125,106
1487.9375,107
1504.43359375,115
1504.875,113
1505.31640625,113
1505.76171875,114
1506.19921875,112
1506.64453125,114
1507.0703125,109
1507.50390625,111
1507.93359375,110
1508.36328125,110
1508.796875,111
1509.234375,112
1509.671875,112
1510.11328125,113
1510.5546875,113
1511.00390625,115
1511.4453125,113
1511.8984375,116
1512.35546875,117
1512.8046875,115
1513.26171875,117
1513.71875,117
1514.18359375,119
1514.6484375,119
1515.109375,118
1515.57421875,119
1516.03515625,118
1516.5078125,121
1516.96875,118
1517.41796875,115
1517.87109375,116
1518.33203125,118
1518.796875,119
1519.24609375,115
1519.70703125,118
1520.16796875,118
1520.62890625,118
1521.09375,119
1521.55859375,119
1522.02734375,120
1522.49609375,120
1522.98046875,124
1523.43359375,116
1523.890625,117
1524.34765625,117
1524.80859375,118
1525.2734375,119
1525.73828125,119
1526.1953125,117
1526.66015625,119
1527.15234375,126
1527.59375,113
1528.06640625,121
1528.54296875,122
1529.00390625,118
1529.4765625,121
1529.9453125,120
1530.421875,122
1530.8984375,122
1531.38671875,125
1531.84375,117
1532.3203125,122
1532.80078125,123
1533.26171875,118
1533.73828125,122
1534.19921875,118
1534.6875,125
1535.1328125,114
1535.58203125,115
1536.03515625,116
1536.484375,115
1536.9375,116
1537.38671875,115
1537.84375,117
1538.29296875,115
1538.7421875,115
1539.1875,114
1539.63671875,115
1562.20703125,113
1562.6484375,113
1563.09375,114
1563.53125,112
1563.97265625,113
1564.41015625,112
1564.8515625,113
1565.2890625,112
1565.7265625,112
1566.16796875,113
1566.609375,113
1567.0546875,114
1567.5,114
1567.94921875,115
1568.40625,117
1568.86328125,117
1569.328125,119
1569.79296875,119
1570.25,117
1570.703125,116
1571.1484375,114
1571.59375,114
1572.0390625,114
1572.48046875,113
1572.921875,113
1573.359375,112
1573.79296875,111
1574.26953125,122
1574.65234375,98
1575.0859375,111
1575.5078125,108
1575.9375,110
1588.06640625,117
1588.53125,119
1588.9921875,118
1589.46484375,121
1589.94140625,122
1590.39453125,116
1590.86328125,120
1591.33203125,120
1591.80078125,120
1592.26171875,118
1592.7265625,119
1593.203125,122
1593.671875,120
1594.1484375,122
1594.61328125,119
1595.08203125,120
1595.54296875,118
1596.015625,121
1596.48828125,121
1596.94921875,118
1597.421875,121
1597.88671875,119
1598.3515625,119
1598.8203125,120
1599.265625,114
1599.71875,116
1600.171875,116
1600.61328125,113
1601.05859375,114
1601.5,113
1601.9375,112
1602.37109375,111
1602.80078125,110
1603.234375,111
1603.67578125,113
1604.10546875,110
1604.54296875,112
1604.984375,113
1605.4140625,110
1605.8515625,112
1606.2890625,112
1606.73046875,113
1607.171875,113
1607.6171875,114
1608.0703125,116
1608.5234375,116
1608.9765625,116
1609.4296875,116
1609.8828125,116
1610.33984375,117
1610.7890625,115
1611.234375,114
1611.68359375,115
1612.12109375,112
1612.5625,113
1613.01171875,115
1613.4609375,115
1613.88671875,109
1614.33203125,114
1614.77734375,114
1615.22265625,114
1615.671875,115
1616.13671875,119
1616.59375,117
1617.0625,120
1617.5390625,122
1618.01953125,123
1618.50390625,124
1618.9921875,125
1619.48046875,125
1619.98828125,130
1620.45703125,120
1620.94921875,126
1621.4296875,123
1621.91796875,125
1622.3984375,123
1622.87890625,123
1623.35546875,122
1623.82421875,120
1624.296875,121
1624.765625,120
1625.2421875,122
1625.71484375,121
1626.18359375,120
1626.64453125,118
1627.09375,115
1627.55859375,119
1628.015625,117
1628.46484375,115
1628.92578125,118
1629.40625,123
1629.83203125,109
1630.28515625,116
1630.73828125,116
1631.18359375,114
1631.640625,117
1632.0859375,114
1632.53515625,115
1632.984375,115
1633.4375,116
1633.890625,116
1634.34375,116
1634.80078125,117
1635.25,115
1635.70703125,117
1636.15625,115
1636.61328125,117
1637.0625,115
1637.515625,116
1637.97265625,117
1638.421875,115
1638.875,116
1639.328125,116
1639.78515625,117
1640.2578125,121
1640.69921875,113
1641.15625,117
1641.62109375,119
1642.07421875,116
1642.53125,117
1642.984375,116
1643.44921875,119
1643.890625,113
1654.32421875,113
1654.76171875,112
1655.203125,113
1655.640625,112
1656.0859375,114
1656.53515625,115
1656.98046875,114
1657.41796875,112
1657.85546875,112
1658.296875,113
1658.74609375,115
1659.19921875,116
1659.640625,113
1660.08203125,113
1660.51953125,112
1660.9609375,113
1661.3984375,112
1661.83984375,113
1662.2734375,111
1662.7109375,112
