time [s],inspiration [NA](/api/datatype/34/)
2.203125,23200
3.6796875,23265
5.65625,23146
6.296875,23198
7.3828125,23135
8.8828125,23114
9.734375,23116
11.5546875,22974
13.9921875,22971
15.5859375,22651
17.4765625,22220
19.03125,22224
20.8203125,22633
21.703125,22411
26.1875,22801
29.75,23063
36.8515625,22666
38.578125,22475
40.046875,22951
41.703125,22119
45.1640625,8937
47.2109375,10962
48.671875,20645
49.7734375,20652
54.078125,20710
58.1328125,20684
71.625,20645
85.7421875,20610
94.8984375,20605
100.1015625,20609
107.78125,20321
113.0546875,20462
117.09375,20614
121.7578125,20612
136.5,20597
140.0390625,20624
146.4921875,20578
149.734375,20645
156.5078125,20638
163.2578125,20661
170.828125,20657
176.8984375,20648
181.3046875,20645
184.640625,20555
187.390625,20610
192.3046875,20583
196.2421875,20605
197.8515625,20549
200.6328125,20577
204.0078125,20609
205.640625,20629
207.265625,20577
209.0078125,20590
210.6640625,20592
212.421875,20590
213.953125,20608
215.5390625,20599
217.1171875,20618
218.8671875,20626
220.65625,20635
222.53125,20640
224.6640625,20642
226.34375,20651
228.0,20633
229.6640625,20637
231.359375,20646
232.9609375,20623
234.6875,20638
236.171875,20606
238.1328125,20597
240.1328125,20601
242.1953125,20636
243.578125,20643
246.1328125,20627
248.3515625,20631
250.09375,20645
252.0,20625
253.5625,20644
255.4609375,20645
257.6328125,20646
259.625,20648
261.4140625,20659
263.1171875,20655
264.703125,20665
266.5859375,20646
272.1640625,20662
274.265625,20652
278.7734375,20609
281.8984375,20635
284.8203125,20621
287.546875,20620
289.375,20650
290.8359375,20660
292.3828125,20646
294.1484375,20636
295.578125,20642
296.8671875,20646
298.0859375,20629
299.2890625,20633
300.4921875,20634
301.8046875,20642
302.921875,20641
304.1484375,20648
305.265625,20651
306.4921875,20647
307.5625,20648
308.5,20656
309.5703125,20659
310.9609375,20653
311.7265625,20631
312.6328125,20652
313.890625,20670
315.578125,20649
317.0859375,20651
318.21875,20635
319.6328125,20640
321.796875,20616
323.546875,20633
324.59375,20635
326.421875,20632
327.84375,20625
329.3828125,20632
330.5234375,20644
331.875,20636
333.7265625,20655
334.8359375,20648
339.203125,20626
340.3046875,20625
341.765625,20619
343.5703125,20626
345.109375,20639
346.1953125,20654
347.953125,20637
349.40625,20648
350.5859375,20648
352.3203125,20635
353.734375,20647
355.015625,20659
356.15625,20646
357.859375,20637
359.40625,20659
360.8515625,20648
362.3125,20651
363.625,20649
364.8671875,20658
366.0078125,20649
367.765625,20644
369.125,20643
370.3984375,20622
371.8359375,20631
373.4453125,20646
374.6796875,20636
376.390625,20634
377.515625,20616
378.9921875,20633
380.5390625,20623
386.5703125,20656
387.703125,20657
389.8046875,20656
390.953125,20660
392.984375,20654
394.265625,20660
395.5390625,20649
397.015625,20664
398.71875,20670
400.1953125,20674
402.5,20665
405.0703125,20679
406.609375,20677
408.890625,20660
414.6484375,20655
417.609375,20671
419.6328125,20657
421.609375,20677
423.6484375,20680
425.6640625,20681
427.390625,20679
429.046875,20648
431.7265625,20658
433.2265625,20662
434.9453125,20666
436.875,20668
439.0546875,20673
443.8984375,20643
445.5625,20658
447.3359375,20656
448.328125,20638
450.6953125,20664
454.890625,20677
456.8828125,20651
459.328125,20661
462.0078125,20662
465.4296875,20656
467.4453125,20642
468.6015625,20630
470.7421875,20619
472.859375,20643
473.9453125,20632
475.0390625,20626
476.296875,20629
477.2421875,20628
477.9765625,20631
479.4296875,20635
480.390625,20634
481.6640625,20630
482.3984375,20626
483.8671875,20630
484.96875,20636
486.0703125,20643
487.2265625,20645
488.3125,20608
489.3984375,20626
490.53125,20625
491.640625,20631
493.4140625,20628
494.78125,20638
496.015625,20651
498.046875,20629
499.3125,20616
500.4453125,20644
501.71875,20628
502.625,20617
503.671875,20614
504.765625,20597
507.96875,20625
509.0859375,20637
510.5625,20634
512.375,20640
513.484375,20638
514.8984375,20620
516.7109375,20649
518.1484375,20630
519.2734375,20618
520.6796875,20628
522.078125,20620
523.40625,20627
525.3359375,20628
526.390625,20630
527.4453125,20622
529.1640625,20628
530.65625,20632
531.75,20634
532.7109375,20627
533.890625,20631
537.1640625,20620
538.28125,20614
543.6796875,20571
544.796875,20615
546.921875,20614
548.359375,20610
549.7265625,20606
551.25,20613
552.328125,20631
553.4296875,20630
555.140625,20617
556.59375,20631
557.7109375,20626
559.1171875,20614
560.515625,20618
563.1015625,20628
564.2578125,20647
565.3203125,20635
567.0703125,20619
568.5859375,20623
570.6015625,20626
571.8203125,20632
572.9296875,20633
574.171875,20628
575.4609375,20626
576.8828125,20628
578.2890625,20632
579.34375,20635
580.421875,20640
581.5234375,20639
584.359375,20637
585.765625,20640
586.875,20642
588.578125,20629
590.03125,20642
591.078125,20631
593.1796875,20631
594.2421875,20623
595.640625,20616
598.09375,20625
599.1875,20617
602.2578125,20622
605.3671875,20592
607.0078125,20591
608.7890625,20628
610.171875,20646
611.8203125,20623
613.203125,20635
614.4453125,20637
615.765625,20636
617.0625,20624
618.3671875,20623
619.578125,20633
621.1015625,20620
622.4765625,20639
624.3125,20632
625.421875,20643
626.515625,20633
629.28125,20614
630.59375,20617
631.84375,20629
632.96875,20625
633.984375,20635
635.1015625,20622
636.390625,20624
637.3671875,20619
640.7265625,20615
641.734375,20614
642.984375,20584
644.09375,20643
645.53125,20618
646.9609375,20633
648.484375,20633
649.7109375,20625
651.7109375,20638
653.7734375,20633
655.015625,20641
656.328125,20636
659.140625,20620
660.609375,20632
661.875,20623
663.109375,20611
664.6171875,20621
667.8125,20601
669.3828125,20626
671.03125,20623
672.5625,20626
673.640625,20643
677.8203125,20607
679.921875,20611
681.109375,20622
684.296875,20613
685.9765625,20617
688.265625,20615
689.5078125,20610
690.8359375,20620
692.4375,20611
693.890625,20618
696.3046875,20613
698.2421875,20611
699.984375,20624
701.8046875,20624
703.546875,20622
704.6484375,20602
706.609375,20590
707.8046875,20613
709.375,20610
710.78125,20599
712.0234375,20606
713.3515625,20626
714.6484375,20613
716.2109375,20634
717.7421875,20634
719.046875,20634
720.515625,20617
722.046875,20632
723.5078125,20621
724.96875,20626
726.484375,20623
727.8828125,20617
729.546875,20638
730.8984375,20621
732.515625,20609
734.109375,20603
735.453125,20614
736.75,20616
738.125,20627
739.6640625,20619
741.09375,20608
742.53125,20600
744.109375,20594
745.4375,20593
746.71875,20599
748.203125,20602
749.8828125,20608
751.4921875,20631
