time [s],device_position [NA](/api/datatype/269/)
0.0,nan
1.0,4.0
15.0,2.0
39.0,1.0
44.0,3.0
48.0,6.0
51.0,2.0
1979.0,3.0
1999.0,6.0
2005.0,4.0
2026.875,nan
