time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,4.0
15.0,2.0
39.0,1.0
44.0,3.0
51.0,2.0
1979.0,3.0
1999.0,5.0
2005.0,4.0
2026.875,nan
