------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 17:49:00
Start Date 5/1/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 18:06:21
Download Date 5/1/2023
Current Memory Address: 0
Current Battery Voltage: 4.21     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
5/1/2023 17:49:01.060,-0.293,0.121,0.926
5/1/2023 17:49:01.070,-0.293,0.125,0.922
5/1/2023 17:49:01.080,-0.289,0.129,0.934
5/1/2023 17:49:01.090,-0.293,0.129,0.934
5/1/2023 17:49:01.100,-0.293,0.133,0.941
5/1/2023 17:49:01.110,-0.285,0.137,0.949
5/1/2023 17:49:01.120,-0.277,0.133,0.953
5/1/2023 17:49:01.130,-0.277,0.129,0.953
5/1/2023 17:49:01.140,-0.273,0.141,0.953
5/1/2023 17:49:01.150,-0.273,0.141,0.957
5/1/2023 17:49:01.160,-0.27,0.141,0.957
5/1/2023 17:49:01.170,-0.273,0.145,0.961
5/1/2023 17:49:01.180,-0.273,0.145,0.961
5/1/2023 17:49:01.190,-0.273,0.152,0.961
5/1/2023 17:49:01.200,-0.266,0.156,0.957
5/1/2023 17:49:01.210,-0.266,0.156,0.957
5/1/2023 17:49:01.220,-0.266,0.156,0.953
5/1/2023 17:49:01.230,-0.266,0.156,0.957
5/1/2023 17:49:01.240,-0.27,0.152,0.961
5/1/2023 17:49:01.250,-0.273,0.152,0.957
5/1/2023 17:49:01.260,-0.27,0.156,0.957
5/1/2023 17:49:01.270,-0.273,0.16,0.957
5/1/2023 17:49:01.280,-0.273,0.16,0.957
5/1/2023 17:49:01.290,-0.273,0.16,0.957
5/1/2023 17:49:01.300,-0.273,0.16,0.957
5/1/2023 17:49:01.310,-0.277,0.16,0.961
5/1/2023 17:49:01.320,-0.277,0.16,0.961
5/1/2023 17:49:01.330,-0.273,0.16,0.957
5/1/2023 17:49:01.340,-0.273,0.164,0.949
5/1/2023 17:49:01.350,-0.273,0.16,0.953
5/1/2023 17:49:01.360,-0.273,0.164,0.957
5/1/2023 17:49:01.370,-0.27,0.168,0.957
5/1/2023 17:49:01.380,-0.27,0.172,0.953
5/1/2023 17:49:01.390,-0.273,0.176,0.949
5/1/2023 17:49:01.400,-0.273,0.168,0.949
5/1/2023 17:49:01.410,-0.273,0.164,0.941
5/1/2023 17:49:01.420,-0.273,0.164,0.934
5/1/2023 17:49:01.430,-0.277,0.16,0.934
5/1/2023 17:49:01.440,-0.277,0.164,0.938
5/1/2023 17:49:01.450,-0.285,0.164,0.934
5/1/2023 17:49:01.460,-0.289,0.164,0.934
5/1/2023 17:49:01.470,-0.297,0.164,0.934
5/1/2023 17:49:01.480,-0.305,0.168,0.934
5/1/2023 17:49:01.490,-0.305,0.164,0.938
5/1/2023 17:49:01.500,-0.313,0.164,0.938
5/1/2023 17:49:01.510,-0.305,0.16,0.938
