time [s],inspiration [NA](/api/datatype/34/)
3.4609375,21837
4.828125,21793
5.84375,21830
7.546875,21830
9.6484375,21845
11.6171875,21840
13.921875,21845
15.765625,21844
18.71875,21823
20.7421875,21836
22.609375,21846
24.5859375,21825
27.484375,21807
28.9296875,21773
35.640625,21827
40.453125,21822
43.3515625,21767
44.9375,21794
47.8671875,21790
50.5546875,21803
51.9140625,21819
54.4296875,21814
56.1171875,21812
58.6640625,21819
65.1953125,21821
69.265625,21836
74.7734375,21827
76.3359375,21776
80.3046875,21827
87.328125,21831
90.2421875,21814
92.0390625,21808
93.7578125,21821
95.78125,21834
97.6484375,21845
99.328125,21840
102.4609375,21842
105.1953125,21834
109.34375,21835
111.1015625,21841
113.0390625,21846
114.984375,21844
117.03125,21848
119.0546875,21841
121.09375,21845
122.7265625,21853
124.6640625,21848
126.796875,21845
129.3125,21854
131.4375,21854
133.4375,21855
136.015625,21857
138.0625,21852
140.359375,21842
142.21875,21846
144.203125,21852
146.15625,21843
148.1796875,21828
150.203125,21846
152.2421875,21845
154.21875,21841
155.9921875,21850
157.9140625,21855
159.9296875,21850
161.953125,21851
164.015625,21848
166.125,21857
168.1953125,21853
170.4375,21846
172.28125,21820
174.2734375,21836
176.375,21840
177.9921875,21851
180.0546875,21848
182.0625,21858
184.1015625,21852
186.1484375,21850
188.65625,21844
190.75,21854
192.796875,21853
194.8203125,21847
196.7265625,21842
198.9453125,21847
200.6328125,21848
202.7109375,21855
204.765625,21849
206.7890625,21846
208.78125,21841
210.7890625,21851
212.7265625,21852
214.4609375,21848
216.5703125,21853
218.4140625,21855
220.0390625,21854
221.9296875,21864
223.96875,21862
226.0234375,21859
228.0546875,21854
230.0859375,21846
232.90625,21851
234.8515625,21842
237.9609375,21847
239.9375,21844
241.625,21855
245.0,21827
246.671875,21814
250.109375,21823
252.703125,21816
258.0703125,21802
260.734375,21807
264.1796875,21802
266.8203125,21797
268.5703125,21830
270.5546875,21839
272.2890625,21838
276.0234375,21844
277.5703125,21853
279.078125,21837
280.7734375,21842
282.3828125,21824
284.4609375,21840
286.140625,21836
287.8515625,21843
289.640625,21844
291.4453125,21838
293.5390625,21826
295.3203125,21837
296.875,21843
298.359375,21835
300.4296875,21838
302.734375,21844
304.515625,21825
306.0078125,21825
307.5625,21835
309.34375,21845
310.8984375,21832
312.546875,21847
314.265625,21840
315.96875,21842
317.75,21858
319.5234375,21850
321.2421875,21832
323.09375,21830
