time [s],expiration [NA](/api/datatype/35/)
3.265625,22043
5.296875,22057
7.65625,22057
10.7109375,22033
12.5625,22040
14.1640625,22017
16.8515625,22041
19.8359375,22029
22.4921875,22036
25.015625,22047
27.4609375,22043
30.3203125,22036
34.5234375,22049
37.8125,22042
41.15625,22048
44.390625,22056
46.3046875,22053
52.078125,21939
54.484375,21941
56.9765625,21937
61.953125,21892
64.953125,22037
67.53125,22038
70.640625,22040
73.234375,22055
75.921875,22045
80.1171875,22051
82.2421875,22054
85.09375,22040
87.84375,22054
91.5625,22066
93.953125,22057
96.578125,22057
100.703125,22025
102.5390625,22037
104.2890625,22043
107.2109375,22065
108.84375,22064
110.078125,22045
112.4765625,22023
115.3359375,21873
117.28125,22033
119.7265625,22051
122.0625,22007
124.6015625,21987
126.453125,21978
129.734375,22012
133.6328125,21997
135.8984375,21992
137.8203125,21998
140.9609375,21996
146.0859375,22069
148.28125,21998
150.5078125,22013
153.34375,22006
156.9296875,22012
163.234375,22034
167.453125,22002
169.3125,22013
172.1875,22010
179.9765625,21999
187.078125,21963
191.625,22008
193.96875,22002
199.15625,22004
201.859375,22051
204.234375,22061
207.703125,22074
211.3125,22066
213.375,22078
215.21875,22003
216.9375,22011
219.8984375,22014
222.234375,22010
224.984375,22006
227.8046875,22004
231.9921875,22025
233.3671875,22014
238.09375,22013
241.3359375,22011
245.5703125,22016
248.6015625,22020
251.8125,22019
254.2890625,22008
256.5546875,22014
259.0078125,22007
261.8359375,22009
264.359375,22013
267.4296875,22012
270.7734375,22012
273.5859375,22012
278.1875,22014
280.7265625,22026
283.578125,22038
285.953125,22037
288.375,22032
291.0625,22053
293.421875,22061
296.25,22057
299.265625,22052
301.6953125,22055
304.484375,22052
307.0,22044
310.0859375,22043
312.609375,22052
314.9375,22040
317.4140625,22050
319.5703125,22052
321.9453125,22048
324.34375,22046
326.8125,22034
329.8203125,22048
332.25,22044
335.4375,22048
338.5703125,22047
340.1953125,22055
341.921875,22052
343.8046875,22055
345.9453125,22059
347.4765625,22053
349.421875,22060
351.9609375,22061
354.2265625,22068
355.828125,22070
357.6796875,22065
359.9375,22071
361.75,22067
364.265625,22062
366.3671875,22064
368.9375,22064
372.375,22031
374.9609375,22061
376.9765625,22062
379.515625,22069
381.1953125,22064
383.640625,22072
385.390625,22065
387.78125,22074
389.9296875,22064
392.15625,22068
394.546875,22070
398.1015625,22072
400.140625,22070
402.3359375,22064
404.421875,22076
406.78125,22056
409.3125,22067
411.671875,22060
414.1640625,22058
416.265625,22058
418.3203125,22054
420.375,22056
422.4296875,22065
