time [s],device_position [NA](/api/datatype/269/)
0.0,nan
1.0,2.0
13.0,1.0
18.0,2.0
25.0,3.0
27.0,6.0
32.0,4.0
35.0,2.0
1935.0,3.0
4803.0,6.0
4812.3125,nan
