time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.28125,129
5.96875,129
6.56640625,129
6.82421875,129
7.453125,129
8.359375,129
8.859375,129
9.54296875,1
10.0234375,129
10.36328125,129
10.8828125,1
11.1484375,1
11.9453125,1
12.32421875,1
12.84375,1
13.60546875,129
13.92578125,129
14.26953125,129
16.0703125,129
16.3671875,129
16.63671875,129
18.3359375,129
18.81640625,1
19.52734375,129
19.9140625,129
20.203125,129
20.74609375,1
21.43359375,1
22.0546875,1
22.95703125,129
23.6171875,1
24.42578125,1
25.07421875,1
25.46875,129
26.08203125,1
26.765625,1
27.21484375,129
27.94140625,1
28.74609375,1
29.21875,129
29.69140625,129
30.0390625,129
30.5703125,129
30.94140625,129
31.50390625,1
31.953125,129
32.4765625,1
32.73046875,129
33.15234375,1
34.99609375,129
35.34765625,129
35.79296875,1
36.5234375,129
37.0859375,1
37.7265625,129
38.41015625,129
38.97265625,1
39.5078125,1
39.9921875,1
40.5,1
41.046875,1
41.765625,129
42.14453125,129
42.671875,1
43.37890625,129
44.484375,129
44.7890625,129
46.3828125,129
47.3671875,129
47.70703125,129
48.1171875,129
48.875,129
49.5703125,129
50.78515625,129
51.36328125,1
52.21484375,1
52.91796875,1
54.078125,1
54.52734375,129
55.09765625,1
56.0234375,1
56.58984375,1
56.9140625,129
57.32421875,129
57.70703125,1
59.06640625,129
59.76171875,1
60.3515625,1
60.87109375,1
61.3671875,1
62.06640625,1
62.5859375,1
62.953125,1
63.34375,1
65.28515625,129
66.078125,129
67.43359375,129
68.19921875,129
69.6640625,129
70.12890625,1
70.49609375,1
71.38671875,129
71.9140625,1
72.80859375,129
73.23828125,1
74.56640625,1
75.625,1
76.09375,1
76.484375,1
77.05859375,1
77.671875,1
78.125,1
78.69140625,129
79.2890625,129
79.84375,1
80.41015625,1
80.88671875,1
81.5390625,1
82.8203125,129
84.43359375,129
85.4296875,129
85.828125,129
86.44921875,1
86.9765625,1
88.0625,129
89.23046875,129
89.51171875,129
90.44140625,129
90.8046875,129
91.72265625,1
92.71875,1
93.69140625,1
93.9921875,129
94.55078125,129
94.94140625,129
95.33203125,129
95.99609375,1
96.4453125,129
97.16796875,1
97.75390625,129
98.58984375,1
99.05078125,129
99.83203125,1
100.3828125,1
101.13671875,1
101.54296875,129
102.1484375,1
102.62109375,1
103.5625,1
103.9921875,129
104.640625,1
104.93359375,129
105.703125,1
107.171875,129
