time [s],expiration [NA](/api/datatype/35/)
2.3984375,23804
3.8828125,23679
4.5390625,23674
5.3125,23706
6.796875,23822
8.09375,23931
10.0703125,23561
11.125,23037
12.6171875,23553
13.4453125,23675
14.1484375,23697
17.1640625,23529
18.3125,23485
19.6171875,23886
23.7421875,23500
25.3125,23255
27.71875,23120
28.7265625,21438
29.765625,19302
32.3125,13182
33.859375,11073
39.8203125,21938
43.1875,22062
52.8046875,22009
55.6796875,22103
61.6796875,22073
67.9296875,22231
70.34375,22228
79.328125,22152
82.7421875,22198
86.3125,22202
89.921875,22203
93.4609375,22214
96.6171875,22209
99.3671875,22190
102.5625,22202
105.71875,22190
109.421875,22214
114.25,22077
115.8125,22052
117.390625,22036
119.4921875,22009
123.0546875,21978
126.390625,21964
130.03125,21962
132.5390625,22026
136.078125,22240
139.4765625,22275
144.3125,22307
148.46875,22051
151.109375,22000
154.875,22162
158.4453125,21976
163.140625,22091
168.9921875,22205
171.8515625,22254
175.4609375,22263
181.7421875,22202
184.6796875,22233
188.4453125,22255
191.6796875,22280
193.9609375,22293
198.1875,22278
202.125,22252
204.875,22238
207.546875,22261
210.515625,22252
212.359375,22279
216.453125,22262
221.515625,22259
223.953125,22257
226.671875,22257
229.3984375,22241
231.546875,22302
234.828125,22296
237.296875,22210
240.25,22255
242.3828125,22217
244.3046875,22229
249.4765625,22291
251.9375,22278
254.171875,22270
256.8125,22240
259.3828125,22239
261.8828125,22279
264.78125,22261
268.015625,22267
270.453125,22265
272.3515625,22274
274.53125,22246
277.71875,22254
279.90625,22262
282.421875,22278
284.25,22288
287.7890625,22168
290.5,22260
292.9921875,22291
295.1484375,22234
297.1171875,22290
300.6640625,22347
304.3125,22357
307.4453125,22351
310.1171875,22359
313.4296875,22338
316.9453125,22378
320.296875,22330
324.90625,22258
328.796875,22351
332.71875,22346
337.21875,22368
340.8359375,22363
344.546875,22371
348.2109375,22370
352.0859375,22378
355.4453125,22355
359.0546875,22273
361.75,22281
364.453125,22275
367.1015625,22268
369.8203125,22263
372.8359375,22283
375.1328125,22273
377.8046875,22284
380.46875,22265
383.15625,22288
385.2890625,22279
388.0234375,22275
390.7265625,22295
392.9140625,22295
395.625,22268
398.2734375,22278
400.9921875,22270
403.6640625,22267
406.359375,22264
409.015625,22268
412.5859375,22291
414.6953125,22290
416.9140625,22272
419.5234375,22274
421.65625,22263
423.828125,22260
426.4765625,22282
429.140625,22272
431.7890625,22270
434.4140625,22266
436.5703125,22263
439.171875,22268
441.6328125,22276
444.40625,22265
447.046875,22274
450.125,22231
452.671875,22254
456.09375,22211
459.421875,22247
462.5546875,22264
465.765625,22242
468.578125,22261
471.421875,22276
476.3125,22291
478.171875,22290
481.4921875,22250
483.8671875,22227
486.4140625,22272
488.9765625,22276
491.828125,22261
494.65625,22256
497.4296875,22265
500.5,22272
503.4296875,22303
505.9765625,22316
508.6171875,22259
512.0703125,22224
515.453125,22242
518.1015625,22257
520.96875,22254
523.6875,22274
526.828125,22283
531.8359375,22269
534.9921875,22295
538.3828125,22273
541.6328125,22303
544.90625,22277
548.0703125,22254
551.0234375,22300
553.984375,22277
556.671875,22287
559.2265625,22276
562.15625,22268
565.078125,22269
567.5625,22256
570.25,22225
572.5703125,22255
574.8203125,22236
576.984375,22238
579.1953125,22245
581.5625,22239
583.8203125,22253
585.96875,22237
588.15625,22236
590.4140625,22260
592.5,22255
594.5703125,22270
596.890625,22253
599.2421875,22260
601.828125,22253
604.7421875,22260
607.53125,22236
610.9296875,22257
614.6484375,22248
617.90625,22248
621.03125,22267
623.9609375,22241
627.234375,22263
629.75,22256
633.015625,22268
635.6875,22272
638.328125,22290
640.765625,22274
643.2421875,22289
647.03125,22270
650.0078125,22254
653.125,22276
655.890625,22244
658.2734375,22261
660.8125,22271
663.859375,22283
665.53125,22259
668.234375,22119
671.5078125,22273
673.7109375,22285
675.9140625,22306
678.4921875,22266
680.703125,22281
682.4140625,22307
684.5546875,22283
687.1953125,22299
689.9609375,22269
692.21875,22267
694.796875,22260
697.7578125,22287
699.8046875,22327
703.34375,22249
707.1796875,22258
709.3671875,22309
711.046875,22302
713.2578125,22265
715.2734375,22272
717.6640625,22275
720.2265625,22318
722.46875,22298
724.9375,22302
727.25,22286
729.8828125,22299
732.21875,22284
734.671875,22285
737.25,22300
739.84375,22281
742.671875,22275
745.4140625,22297
748.234375,22285
751.140625,22286
753.9921875,22268
756.8828125,22291
759.703125,22261
762.5,22264
765.3046875,22250
768.5,22245
770.7265625,22260
772.328125,22158
774.625,22191
779.828125,22192
782.125,22274
784.3046875,22248
786.546875,22259
788.78125,22282
791.0,22291
794.6875,22297
797.6875,22285
800.0234375,22289
802.828125,22294
805.609375,22271
808.3671875,22276
811.1640625,22259
814.21875,22283
816.734375,22282
819.3984375,22273
821.90625,22279
824.6015625,22275
827.15625,22268
829.5625,22266
832.2734375,22281
835.0546875,22268
838.3515625,22273
841.0390625,22294
843.5859375,22305
846.6484375,22282
849.5703125,22288
852.2734375,22300
854.796875,22287
857.1484375,22281
859.921875,22282
862.2890625,22297
865.15625,22284
867.984375,22272
870.8671875,22243
873.71875,22283
876.5546875,22270
878.8828125,22287
881.171875,22277
884.0078125,22290
886.359375,22297
889.0625,22287
891.421875,22301
893.546875,22314
896.40625,22314
899.4375,22282
901.8671875,22286
904.7890625,22295
907.234375,22317
909.6328125,22276
913.1953125,22200
917.3203125,22313
919.1484375,22324
921.71875,22334
924.421875,22316
926.5625,22283
929.078125,22317
931.3828125,22329
933.59375,22316
935.9609375,22332
938.3203125,22290
942.484375,22283
944.2578125,22306
946.59375,22315
948.7109375,22321
951.015625,22314
953.03125,22297
955.296875,22299
957.6171875,22301
959.1171875,22308
963.15625,22291
965.7890625,22297
968.4140625,22287
971.4140625,22310
974.25,22321
976.96875,22297
979.8203125,22313
983.15625,22285
986.1875,22319
989.34375,22328
992.75,22337
994.515625,22308
997.3828125,22323
1000.1328125,22305
1003.0,22312
1005.9140625,22313
1008.5390625,22355
1011.5703125,22347
1014.8203125,22360
1017.2421875,22336
1020.125,22330
1023.703125,22272
1026.5546875,22208
1028.46875,22294
1031.109375,22292
1034.0390625,22322
1036.3828125,22331
1038.6640625,22342
1041.3125,22321
1044.484375,22122
1048.4453125,22314
1050.578125,22357
1052.609375,22331
1055.296875,22340
1057.6640625,22317
1059.9921875,22326
1062.359375,22300
1065.8203125,22300
1068.1484375,22326
1070.5390625,22348
1072.9296875,22341
1074.9296875,22331
1077.2890625,22335
1079.4140625,22337
1081.4296875,22335
1083.8125,22341
1086.15625,22330
1088.4609375,22310
1090.65625,22304
1092.9765625,22303
1095.4921875,22306
1097.640625,22314
1099.96875,22336
1102.359375,22330
1104.8828125,22319
1106.6328125,22325
1109.640625,22302
1111.984375,22314
1114.3125,22357
1116.375,22344
1118.4140625,22317
1120.7265625,22297
1123.4140625,22306
1125.796875,22298
1127.8125,22321
1130.4453125,22316
1132.796875,22309
1135.140625,22298
1137.15625,22318
1139.4765625,22323
1142.140625,22306
1144.703125,22308
1147.6328125,22319
1149.9609375,22322
1152.65625,22303
1154.9375,22278
1157.0,22235
1159.4140625,22246
1161.796875,22237
1164.5,22267
1166.0546875,22217
1168.4140625,22232
1170.796875,22228
1172.765625,22235
1174.7109375,22240
1176.3046875,22239
1178.25,22245
1180.1796875,22227
1182.140625,22245
1184.0859375,22231
1186.0390625,22227
1188.0,22184
1190.28125,22221
1192.1953125,22239
1194.15625,22237
1196.1171875,22205
1198.40625,22209
1200.359375,22212
1202.28125,22229
1204.203125,22206
1206.5234375,22189
1208.1171875,22214
1210.3984375,22211
1211.96875,22212
1214.2578125,22227
1215.828125,22204
1218.1484375,22235
1220.59375,22216
1222.9921875,22233
1226.0390625,22166
1230.8515625,22264
1233.46875,22238
1237.546875,22251
1243.0234375,22290
1245.6640625,22288
1248.578125,22293
1251.4453125,22279
1254.4453125,22279
1257.0390625,22281
1259.375,22299
1261.8125,22288
1263.9921875,22299
1266.3828125,22279
1268.7734375,22315
1271.6171875,22317
1274.28125,22337
1276.6796875,22349
1278.7734375,22327
1281.0625,22342
1283.8046875,22332
1286.328125,22323
1288.421875,22337
1292.0703125,22308
1294.1953125,22304
1296.5859375,22317
1298.84375,22326
1300.9765625,22346
1303.5703125,22264
1307.921875,22296
1310.1171875,22283
1312.3125,22283
1314.53125,22298
1317.2421875,22305
1319.4296875,22318
1322.1875,22320
1324.9375,22314
1328.25,22138
1332.25,22322
1335.671875,22270
1338.5859375,22327
1341.2109375,22319
1343.6328125,22319
1346.125,22338
1348.6796875,22342
1351.1328125,22343
1353.3203125,22361
1355.796875,22339
1358.546875,22327
1361.03125,22329
1363.640625,22330
1366.078125,22343
1369.0625,22325
1371.5390625,22329
1373.53125,22307
1376.8359375,22272
1380.0703125,22343
1382.6171875,22327
1384.875,22332
1386.859375,22330
1390.0625,22322
1392.625,22333
1394.890625,22322
1397.1875,22286
1399.390625,22324
1402.1484375,22334
1404.953125,22336
1407.28125,22316
1409.6171875,22334
1412.234375,22338
1415.6328125,22187
1418.6484375,22209
1423.703125,22364
1426.0390625,22322
1427.9140625,22345
1431.5,22339
1433.890625,22278
1436.671875,22273
1438.921875,22306
1441.6796875,22312
1443.390625,22302
1445.9609375,22325
1447.8828125,22345
1451.7734375,22342
1454.109375,22323
1456.28125,22313
1458.4609375,22342
1461.0546875,22334
1463.2890625,22343
1465.578125,22346
1468.109375,22346
1469.828125,22357
1472.0703125,22332
1474.3515625,22351
1476.6875,22350
1478.8828125,22337
1481.3984375,22346
1483.5703125,22317
1485.78125,22315
1488.0859375,22318
1490.1640625,22312
1492.03125,22341
1494.1953125,22351
1496.4375,22354
1498.7578125,22343
1500.8984375,22319
1503.3046875,22334
1505.5625,22342
1507.8125,22336
1509.90625,22335
1511.8671875,22333
1514.234375,22322
1516.9921875,22346
1519.265625,22333
1521.296875,22335
1523.484375,22329
1525.375,22330
1527.4296875,22318
1529.6875,22336
1531.9609375,22339
1534.40625,22313
1536.4375,22359
1538.21875,22331
1540.453125,22342
1542.78125,22304
1545.5703125,22314
1547.8203125,22312
1550.140625,22346
1552.390625,22341
1554.65625,22295
1557.125,22290
1559.375,22300
1561.625,22300
1563.8515625,22315
1565.9296875,22317
1568.0859375,22324
1570.046875,22322
1572.28125,22338
1574.3203125,22334
1577.15625,22135
1580.703125,22323
1582.9375,22327
1585.078125,22322
1586.890625,22334
1588.65625,22323
1590.8125,22302
1592.7578125,22331
1595.5625,22279
1598.1640625,22328
1600.0859375,22326
1602.125,22308
1604.0390625,22333
1606.1640625,22281
1608.34375,22320
1610.2578125,22313
1612.0546875,22344
1614.09375,22329
1616.0703125,22365
1617.90625,22344
1620.7734375,22340
1623.7578125,22285
1626.53125,22306
1629.125,22328
1631.484375,22314
1634.0078125,22309
1636.25,22307
1638.5234375,22305
1640.7734375,22314
1642.6796875,22341
1644.7578125,22338
1647.0703125,22333
1649.5703125,22345
1651.65625,22309
1654.2734375,22316
1656.375,22339
1658.8671875,22308
1661.71875,22320
1663.9375,22315
1666.0078125,22310
1668.5,22260
1671.25,22332
1673.4765625,22343
1675.7578125,22347
1678.0,22335
1680.3203125,22326
1683.1171875,22119
1690.015625,22332
1692.53125,22303
1695.1875,22313
1697.8515625,22318
1700.7109375,22327
1703.375,22328
1705.3359375,22335
1707.890625,22407
1710.453125,22329
1713.8984375,22408
1717.578125,22328
1720.1328125,22280
1725.7578125,22351
1728.5546875,22356
1731.3125,22354
1733.6953125,22307
1736.25,22268
1739.015625,22344
1741.578125,22340
1744.40625,22367
1750.1171875,22136
1751.9765625,22174
1755.703125,22277
1758.140625,22315
1760.9609375,20990
1762.7109375,20405
1764.3984375,22171
1767.515625,11293
1771.328125,11256
1772.46875,13690
1775.2109375,23019
1777.46875,22833
1779.15625,23020
1782.234375,23300
1783.359375,23310
1785.7734375,23202
1789.0703125,22935
1792.8203125,23126
1795.6328125,23038
1798.140625,23317
