time [s],RR_interval [s/256](/api/datatype/18/)
5.44921875,0
6.2265625,199
6.61328125,99
7.0546875,113
8.08203125,263
8.6015625,133
9.65625,270
10.171875,132
10.66015625,125
11.58203125,236
12.56640625,252
12.83203125,68
13.4140625,149
13.85546875,113
14.703125,217
15.171875,120
15.62109375,115
16.44140625,210
16.8125,95
17.26171875,115
18.14453125,226
18.5,91
19.7265625,314
20.140625,106
20.625,124
21.10546875,123
21.578125,121
22.046875,120
22.5390625,126
23.0234375,124
23.5078125,124
24.0,126
24.51171875,131
25.03125,133
25.5859375,142
26.140625,142
26.6484375,130
27.1328125,124
27.765625,162
28.71875,244
29.06640625,89
29.640625,147
30.12890625,125
31.9140625,457
32.88671875,249
33.7890625,231
34.4296875,164
35.3671875,240
35.8359375,120
36.73828125,231
37.9375,307
38.328125,100
39.0,172
39.62109375,159
40.17578125,142
40.6640625,125
41.2734375,156
41.53125,66
42.01171875,123
42.41015625,102
43.46875,271
44.9765625,386
45.66015625,175
46.73828125,276
47.28515625,140
47.58203125,76
48.48828125,232
49.1171875,161
49.69921875,149
50.30078125,154
50.94921875,166
51.3984375,115
52.078125,174
53.3125,316
54.13671875,211
54.48828125,90
55.2890625,205
56.5546875,324
57.140625,150
57.66796875,135
58.0390625,95
59.04296875,257
59.34765625,78
59.703125,91
60.609375,232
61.53515625,237
61.91796875,98
62.47265625,142
63.37109375,230
64.14453125,198
65.24609375,282
65.56640625,82
65.83984375,70
66.8828125,267
67.796875,234
68.375,148
68.953125,148
69.57421875,159
70.70703125,290
71.38671875,174
72.48046875,280
72.9453125,119
73.46484375,133
73.97265625,130
74.484375,131
74.984375,128
75.71484375,187
76.453125,189
76.95703125,129
77.5390625,149
77.9921875,116
78.5234375,136
79.08203125,143
79.59765625,132
80.13671875,138
80.65625,133
81.1875,136
81.73046875,139
82.4765625,191
82.77734375,77
83.3125,137
83.5703125,66
83.8359375,68
84.33203125,127
84.8828125,141
85.28515625,103
85.90234375,158
86.4140625,131
86.93359375,133
87.5078125,147
88.03515625,135
88.57421875,138
89.10546875,136
89.65625,141
90.19140625,137
90.71484375,134
91.47265625,194
92.21484375,190
92.71484375,128
93.2421875,135
94.05078125,207
94.796875,191
95.265625,120
96.04296875,199
96.58203125,138
97.41796875,214
97.98046875,144
99.08984375,284
99.92578125,214
101.2265625,333
101.6171875,100
103.14453125,391
103.43359375,74
104.02734375,152
104.9140625,227
105.27734375,93
106.296875,261
107.89453125,409
109.61328125,440
110.1484375,137
110.80859375,169
111.69140625,226
112.421875,187
113.12890625,181
114.09375,247
114.65234375,143
115.265625,157
115.9609375,178
116.2421875,72
116.9375,178
117.2109375,70
