time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.44921875,129
6.2265625,129
6.61328125,129
7.0546875,129
8.08203125,129
8.6015625,129
9.65625,129
10.171875,1
10.66015625,1
11.58203125,129
12.56640625,129
12.83203125,129
13.4140625,1
13.85546875,1
14.703125,129
15.171875,1
15.62109375,1
16.44140625,129
16.8125,1
17.26171875,1
18.14453125,129
18.5,129
19.7265625,129
20.140625,1
20.625,1
21.10546875,1
21.578125,1
22.046875,1
22.5390625,1
23.0234375,1
23.5078125,1
24.0,1
24.51171875,1
25.03125,1
25.5859375,1
26.140625,1
26.6484375,1
27.1328125,1
27.765625,129
28.71875,129
29.06640625,129
29.640625,1
30.12890625,1
31.9140625,129
32.88671875,129
33.7890625,129
34.4296875,129
35.3671875,129
35.8359375,1
36.73828125,1
37.9375,1
38.328125,129
39.0,129
39.62109375,129
40.17578125,129
40.6640625,129
41.2734375,129
41.53125,129
42.01171875,129
42.41015625,129
43.46875,1
44.9765625,129
45.66015625,1
46.73828125,1
47.28515625,1
47.58203125,129
48.48828125,129
49.1171875,1
49.69921875,1
50.30078125,1
50.94921875,1
51.3984375,129
52.078125,1
53.3125,129
54.13671875,1
54.48828125,129
55.2890625,1
56.5546875,129
57.140625,1
57.66796875,1
58.0390625,129
59.04296875,129
59.34765625,129
59.703125,129
60.609375,1
61.53515625,1
61.91796875,129
62.47265625,129
63.37109375,1
64.14453125,1
65.24609375,1
65.56640625,129
65.83984375,129
66.8828125,1
67.796875,1
68.375,129
68.953125,129
69.57421875,129
70.70703125,1
71.38671875,129
72.48046875,1
72.9453125,129
73.46484375,129
73.97265625,129
74.484375,129
74.984375,1
75.71484375,129
76.453125,129
76.95703125,1
77.5390625,1
77.9921875,1
78.5234375,1
79.08203125,1
79.59765625,1
80.13671875,1
80.65625,1
81.1875,1
81.73046875,1
82.4765625,129
82.77734375,129
83.3125,1
83.5703125,129
83.8359375,129
84.33203125,1
84.8828125,1
85.28515625,129
85.90234375,129
86.4140625,1
86.93359375,1
87.5078125,1
88.03515625,1
88.57421875,1
89.10546875,1
89.65625,1
90.19140625,1
90.71484375,1
91.47265625,129
92.21484375,129
92.71484375,1
93.2421875,1
94.05078125,129
94.796875,129
95.265625,1
96.04296875,129
96.58203125,1
97.41796875,1
97.98046875,129
99.08984375,129
99.92578125,1
101.2265625,129
101.6171875,129
103.14453125,129
103.43359375,129
104.02734375,129
104.9140625,1
105.27734375,129
106.296875,1
107.89453125,129
109.61328125,1
110.1484375,1
110.80859375,129
111.69140625,1
112.421875,1
113.12890625,129
114.09375,1
114.65234375,129
115.265625,129
115.9609375,1
116.2421875,129
116.9375,1
117.2109375,129
117.77734375,1
118.49609375,1
119.31640625,1
119.8515625,129
120.40234375,1
120.9765625,1
121.5390625,1
122.1015625,1
122.671875,1
123.30859375,1
123.78515625,1
124.3203125,1
124.84375,1
125.359375,1
125.85546875,1
126.34375,1
126.828125,1
127.328125,1
127.87109375,1
128.4921875,129
129.16015625,129
129.796875,129
130.4453125,129
131.05859375,129
131.66796875,1
132.234375,1
132.98828125,129
133.88671875,129
134.4453125,1
135.26171875,1
135.7265625,129
136.19921875,129
136.7265625,129
137.47265625,1
138.328125,129
138.6953125,129
139.36328125,1
140.03125,1
140.6796875,1
141.3203125,1
141.87109375,1
142.40234375,129
142.9453125,1
143.4765625,1
144.03515625,1
144.5078125,1
145.0234375,1
145.52734375,1
145.9140625,129
146.54296875,1
147.0546875,1
147.57421875,1
148.1171875,1
148.70703125,1
149.3046875,1
149.8828125,1
150.4375,1
151.00390625,1
151.56640625,1
152.1171875,1
152.65234375,1
153.17578125,1
153.71875,1
154.30078125,1
154.8828125,1
155.453125,1
156.01953125,1
156.58984375,1
157.1484375,1
157.69140625,1
158.22265625,1
158.76171875,1
159.30859375,1
159.84375,1
160.375,1
160.90625,1
161.453125,1
162.01171875,1
162.56640625,1
163.1171875,1
163.66796875,1
164.20703125,1
164.73046875,1
165.23828125,1
165.73046875,1
166.2421875,1
166.76953125,1
167.31640625,1
167.8671875,1
168.453125,1
168.7265625,129
169.23046875,1
170.1953125,129
170.71875,1
171.2421875,1
171.9140625,129
172.265625,129
172.62890625,129
173.296875,129
173.5703125,129
174.609375,129
175.05859375,1
175.62109375,1
175.94921875,129
176.9140625,129
177.40625,1
177.9140625,1
178.42578125,1
178.90234375,1
179.38671875,1
179.875,1
180.34375,1
180.80859375,1
181.28125,1
181.73828125,1
182.203125,1
182.671875,1
183.1796875,1
183.71875,1
184.2734375,1
185.0,129
185.98046875,129
186.55859375,1
187.08984375,1
187.73828125,129
188.36328125,129
189.56640625,129
190.21875,129
190.6796875,1
191.21484375,1
191.671875,1
192.05078125,1
192.48046875,1
193.0859375,1
193.69140625,1
195.24609375,129
196.69921875,129
197.5390625,1
198.29296875,1
198.828125,1
199.3359375,1
199.83984375,1
200.26171875,1
201.44140625,129
202.27734375,129
204.3125,129
205.0234375,1
205.5546875,1
206.27734375,1
206.93359375,1
207.55859375,1
208.8828125,129
209.33203125,1
210.484375,129
211.34765625,129
211.89453125,1
212.265625,129
212.87109375,1
213.390625,129
213.91796875,1
214.53125,1
215.50390625,129
216.53515625,129
216.8515625,129
217.5703125,1
218.078125,1
218.58984375,1
219.1328125,1
219.69921875,1
220.29296875,1
220.890625,1
221.4609375,1
222.04296875,1
222.5859375,1
223.09765625,1
223.59375,1
224.09375,1
224.60546875,1
225.140625,1
225.69921875,1
226.28515625,1
226.9140625,1
227.54296875,1
228.16796875,1
228.78125,1
229.375,1
229.92578125,1
230.46484375,1
231.01171875,1
231.5078125,1
232.0859375,1
232.73046875,1
233.09375,129
234.34765625,129
234.6171875,129
235.52734375,129
236.19140625,1
236.93359375,1
237.1875,129
237.7890625,1
238.359375,1
238.98046875,1
239.36328125,129
239.625,129
240.25,1
240.859375,1
241.734375,129
243.953125,129
245.2578125,129
245.7890625,1
246.76171875,1
247.05078125,129
247.515625,129
247.8203125,129
248.19140625,129
248.953125,1
249.84375,1
250.13671875,129
250.921875,1
251.25390625,129
251.58984375,129
252.3203125,1
253.16796875,1
254.84375,129
255.19140625,129
256.38671875,129
258.14453125,129
258.77734375,1
259.203125,129
259.71484375,129
261.2421875,129
261.71875,1
262.50390625,1
263.21875,1
263.65234375,1
264.3984375,1
264.9140625,129
265.62109375,1
266.12890625,1
266.7265625,1
267.296875,1
267.81640625,1
268.44921875,129
269.03125,1
269.56640625,1
270.1171875,1
270.6484375,1
271.18359375,1
271.7109375,1
272.234375,1
272.76171875,1
273.28515625,1
273.8046875,1
274.33203125,1
274.9140625,1
275.41015625,1
275.71484375,129
276.48828125,129
276.75,129
277.0859375,129
277.55078125,1
278.12890625,1
278.640625,1
278.8984375,129
279.26171875,129
279.72265625,1
280.234375,1
280.79296875,1
281.32421875,1
281.87109375,1
282.41796875,1
282.93359375,1
283.48828125,1
284.01953125,1
284.58984375,1
285.13671875,1
285.6953125,1
286.19921875,1
286.67578125,1
287.3515625,1
287.8984375,1
288.46484375,1
288.734375,129
288.98828125,129
289.5859375,1
290.09765625,1
290.703125,1
291.125,129
291.828125,1
292.30859375,1
292.953125,1
293.43359375,1
293.84375,129
294.546875,1
294.828125,129
295.578125,129
296.07421875,1
296.6484375,1
297.20703125,1
297.70703125,1
298.26171875,1
298.77734375,1
299.30859375,1
299.85546875,1
300.3046875,1
300.9296875,129
301.40625,1
302.0,1
302.59765625,1
303.3671875,129
303.625,129
304.14453125,1
304.6328125,1
305.31640625,129
306.265625,129
306.67578125,129
307.1328125,1
307.65625,1
308.390625,129
308.828125,1
309.45703125,129
309.8984375,1
310.51953125,1
310.9921875,1
311.5625,1
312.00390625,1
312.71484375,1
313.24609375,1
314.0,1
314.28515625,129
314.89453125,129
315.32421875,1
315.671875,129
315.9921875,129
316.45703125,1
317.07421875,1
317.77734375,1
318.1640625,129
318.6875,1
319.796875,129
320.3203125,1
320.87109375,1
321.4296875,1
321.96875,1
322.515625,1
322.953125,129
323.6171875,1
324.19140625,1
324.71875,1
325.26953125,1
325.66796875,129
326.3203125,1
326.82421875,1
327.34375,1
327.9296875,1
328.95703125,129
329.57421875,1
330.140625,1
330.69140625,1
331.28125,1
331.76953125,1
332.62890625,129
332.9296875,129
333.453125,1
333.95703125,1
334.51953125,1
335.03515625,1
335.59765625,1
336.09375,1
336.6640625,1
337.22265625,1
337.7578125,1
338.23828125,1
338.84765625,1
339.35546875,1
339.93359375,1
340.359375,1
340.984375,129
341.328125,129
341.671875,129
342.2421875,1
342.59375,129
342.86328125,129
344.01171875,129
344.6484375,1
345.05078125,129
345.66796875,1
346.29296875,1
346.75390625,129
347.3828125,1
349.00390625,129
349.8828125,129
350.484375,1
351.3203125,1
351.8515625,129
352.18359375,129
353.0078125,1
353.3828125,129
353.80078125,129
354.70703125,129
355.30078125,1
355.70703125,129
356.46875,1
356.7421875,129
357.2578125,129
357.71484375,129
358.42578125,1
358.828125,1
359.2890625,1
359.98046875,129
360.5,1
361.484375,129
362.06640625,129
362.7109375,1
363.43359375,1
363.91796875,1
364.3828125,1
365.4609375,129
366.07421875,1
366.67578125,1
367.7265625,129
368.45703125,1
369.01171875,1
369.33203125,129
369.88671875,1
370.6640625,129
371.24609375,1
371.75390625,1
372.203125,129
372.72265625,1
373.375,1
373.84765625,1
374.4609375,1
375.01171875,1
375.55078125,1
376.11328125,1
376.39453125,129
377.140625,129
377.7421875,1
378.26171875,1
378.7734375,1
379.6015625,129
380.4375,129
380.87890625,1
381.98046875,129
383.10546875,129
383.96875,129
385.0859375,129
386.31640625,129
386.9609375,1
387.59375,1
388.15625,129
388.59765625,129
389.15234375,1
389.79296875,1
390.37109375,1
390.734375,129
391.33203125,1
392.37890625,1
392.72265625,129
393.0234375,129
394.26953125,129
395.4296875,129
396.26171875,129
396.95703125,1
397.7109375,129
398.1328125,129
400.1484375,129
401.0625,129
401.65625,1
402.27734375,1
402.65625,1
403.6328125,1
404.046875,1
405.5,1
406.078125,1
406.5078125,1
406.796875,129
407.17578125,1
407.7265625,1
408.1484375,1
408.41015625,129
409.7578125,129
411.0078125,1
411.56640625,1
412.125,1
412.73046875,1
413.3046875,1
413.83203125,1
414.3828125,1
414.91796875,1
415.4453125,1
415.98046875,1
416.5078125,1
417.0859375,1
417.578125,1
418.15625,1
418.703125,1
419.234375,1
419.7578125,1
420.3359375,1
420.859375,1
421.3984375,1
421.8984375,1
422.4765625,1
422.9765625,1
423.546875,1
424.05859375,1
424.62109375,1
425.140625,1
425.65625,1
426.25390625,1
426.7578125,1
427.37109375,129
427.85546875,1
428.4140625,1
428.9296875,1
429.48828125,1
430.05859375,1
430.5625,1
431.1484375,1
431.6796875,1
432.23828125,1
432.78125,1
433.34375,1
433.87890625,1
434.4140625,1
434.9609375,1
435.4921875,1
435.98046875,1
436.515625,1
437.1015625,1
437.58984375,1
437.95703125,129
438.72265625,129
439.2109375,1
439.90234375,129
440.16796875,129
440.7890625,129
441.2734375,1
441.8359375,1
442.42578125,1
442.99609375,1
443.52734375,1
444.11328125,1
444.609375,1
445.1171875,1
445.64453125,1
446.19140625,1
446.75390625,1
447.2890625,1
447.8515625,1
448.4375,1
448.953125,1
449.51171875,1
450.04296875,1
450.58984375,1
451.11328125,1
451.625,1
452.17578125,1
452.75390625,1
453.2421875,1
453.81640625,1
454.35546875,1
455.38671875,129
455.87890625,1
456.5,1
457.09765625,1
457.57421875,1
458.09765625,1
458.64453125,1
459.17578125,1
459.73828125,1
460.26953125,1
460.81640625,1
461.36328125,1
461.87890625,1
462.43359375,1
462.98046875,1
463.484375,1
464.03515625,1
464.578125,1
465.09765625,1
465.6875,1
466.27734375,1
466.83203125,1
467.484375,1
468.140625,1
468.53125,129
469.14453125,1
469.8671875,129
470.5078125,1
471.15625,1
471.56640625,129
472.1328125,1
472.703125,1
473.24609375,1
473.8046875,1
474.33984375,1
474.8671875,1
475.37109375,1
475.95703125,1
476.5078125,1
477.02734375,1
477.578125,1
478.11328125,1
478.6328125,1
479.1875,1
479.7421875,1
480.27734375,1
480.8203125,1
481.37109375,1
481.91796875,1
482.46484375,1
482.98828125,1
483.56640625,1
483.9609375,129
484.6484375,1
485.1796875,1
485.6875,1
486.30078125,1
486.7890625,1
487.390625,1
487.9453125,1
488.4921875,1
489.01953125,1
489.5546875,1
490.0859375,1
490.69140625,1
491.203125,1
491.74609375,1
492.32421875,1
492.86328125,1
493.4140625,1
493.98046875,1
494.5234375,1
495.078125,1
495.6328125,1
496.19140625,1
496.75,1
497.28125,1
497.84765625,1
498.37890625,1
498.94140625,1
499.48828125,1
